# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,1.026678611858117041e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.022616199277761817e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.018554119860821450e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.014492379183168813e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.010430982951141976e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.006369937005503035e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.002309247325530839e+00
0.000000000000000000e+00,6.929292929292929504e-02,9.982489200333118928e-01
0.000000000000000000e+00,7.919191919191918838e-02,9.941889613981400586e-01
0.000000000000000000e+00,8.909090909090908172e-02,9.901293778411112134e-01
0.000000000000000000e+00,9.898989898989898895e-02,9.860701759399047583e-01
0.000000000000000000e+00,1.088888888888888823e-01,9.820113624337235558e-01
0.000000000000000000e+00,1.187878787878787756e-01,9.779529442284453644e-01
0.000000000000000000e+00,1.286868686868686829e-01,9.738949284019844388e-01
0.000000000000000000e+00,1.385858585858585901e-01,9.698373222098197743e-01
0.000000000000000000e+00,1.484848484848484695e-01,9.657801330908067916e-01
0.000000000000000000e+00,1.583838383838383768e-01,9.617233686731795350e-01
0.000000000000000000e+00,1.682828282828282840e-01,9.576670367807968987e-01
0.000000000000000000e+00,1.781818181818181634e-01,9.536111454396662968e-01
0.000000000000000000e+00,1.880808080808080707e-01,9.495557028847070313e-01
0.000000000000000000e+00,1.979797979797979779e-01,9.455007175668280750e-01
0.000000000000000000e+00,2.078787878787878574e-01,9.414461981602509910e-01
0.000000000000000000e+00,2.177777777777777646e-01,9.373921535701824626e-01
0.000000000000000000e+00,2.276767676767676718e-01,9.333385929407834736e-01
0.000000000000000000e+00,2.375757575757575513e-01,9.292855256635053074e-01
0.000000000000000000e+00,2.474747474747474585e-01,9.252329613857572799e-01
0.000000000000000000e+00,2.573737373737373657e-01,9.211809100199455091e-01
0.000000000000000000e+00,2.672727272727272729e-01,9.171293817529190262e-01
0.000000000000000000e+00,2.771717171717171802e-01,9.130783870558414339e-01
0.000000000000000000e+00,2.870707070707070319e-01,9.090279366944696848e-01
0.000000000000000000e+00,2.969696969696969391e-01,9.049780417398918253e-01
0.000000000000000000e+00,3.068686868686868463e-01,9.009287135797939827e-01
0.000000000000000000e+00,3.167676767676767535e-01,8.968799639301499038e-01
0.000000000000000000e+00,3.266666666666666607e-01,8.928318048475372137e-01
0.000000000000000000e+00,3.365656565656565680e-01,8.887842487419369553e-01
0.000000000000000000e+00,3.464646464646464752e-01,8.847373083901921564e-01
0.000000000000000000e+00,3.563636363636363269e-01,8.806909969500390511e-01
0.000000000000000000e+00,3.662626262626262341e-01,8.766453279748392946e-01
0.000000000000000000e+00,3.761616161616161413e-01,8.726003154289856401e-01
0.000000000000000000e+00,3.860606060606060486e-01,8.685559737040586814e-01
0.000000000000000000e+00,3.959595959595959558e-01,8.645123176357274453e-01
0.000000000000000000e+00,4.058585858585858630e-01,8.604693625215362740e-01
0.000000000000000000e+00,4.157575757575757147e-01,8.564271241394979528e-01
0.000000000000000000e+00,4.256565656565656219e-01,8.523856187676220886e-01
0.000000000000000000e+00,4.355555555555555292e-01,8.483448632044563453e-01
0.000000000000000000e+00,4.454545454545454364e-01,8.443048747905782525e-01
0.000000000000000000e+00,4.553535353535353436e-01,8.402656714312725095e-01
0.000000000000000000e+00,4.652525252525252508e-01,8.362272716202735490e-01
0.000000000000000000e+00,4.751515151515151025e-01,8.321896944647997341e-01
0.000000000000000000e+00,4.850505050505050098e-01,8.281529597118449937e-01
0.000000000000000000e+00,4.949494949494949170e-01,8.241170877758643432e-01
0.000000000000000000e+00,5.048484848484848797e-01,8.200820997679268975e-01
0.000000000000000000e+00,5.147474747474747314e-01,8.160480175264174241e-01
0.000000000000000000e+00,5.246464646464645831e-01,8.120148636493745853e-01
0.000000000000000000e+00,5.345454545454545459e-01,8.079826615286060942e-01
0.000000000000000000e+00,5.444444444444443976e-01,8.039514353856626050e-01
0.000000000000000000e+00,5.543434343434343603e-01,7.999212103097935733e-01
0.000000000000000000e+00,5.642424242424242120e-01,7.958920122980099876e-01
0.000000000000000000e+00,5.741414141414140637e-01,7.918638682974311616e-01
0.000000000000000000e+00,5.840404040404040265e-01,7.878368062499782054e-01
0.000000000000000000e+00,5.939393939393938782e-01,7.838108551397032775e-01
0.000000000000000000e+00,6.038383838383838409e-01,7.797860450427581691e-01
0.000000000000000000e+00,6.137373737373736926e-01,7.757624071803695953e-01
0.000000000000000000e+00,6.236363636363636553e-01,7.717399739748552756e-01
0.000000000000000000e+00,6.335353535353535070e-01,7.677187791090149815e-01
0.000000000000000000e+00,6.434343434343433588e-01,7.636988575890492070e-01
0.000000000000000000e+00,6.533333333333333215e-01,7.596802458113192102e-01
0.000000000000000000e+00,6.632323232323231732e-01,7.556629816331331684e-01
0.000000000000000000e+00,6.731313131313131359e-01,7.516471044479517971e-01
0.000000000000000000e+00,6.830303030303029876e-01,7.476326552652090562e-01
0.000000000000000000e+00,6.929292929292929504e-01,7.436196767952191200e-01
0.000000000000000000e+00,7.028282828282828021e-01,7.396082135394042023e-01
0.000000000000000000e+00,7.127272727272726538e-01,7.355983118863140824e-01
0.000000000000000000e+00,7.226262626262626165e-01,7.315900202138758690e-01
0.000000000000000000e+00,7.325252525252524682e-01,7.275833889982809000e-01
0.000000000000000000e+00,7.424242424242424310e-01,7.235784709300507878e-01
0.000000000000000000e+00,7.523232323232322827e-01,7.195753210378377229e-01
0.000000000000000000e+00,7.622222222222221344e-01,7.155739968205081514e-01
0.000000000000000000e+00,7.721212121212120971e-01,7.115745583882002734e-01
0.000000000000000000e+00,7.820202020202019488e-01,7.075770686130128384e-01
0.000000000000000000e+00,7.919191919191919116e-01,7.035815932901280378e-01
0.000000000000000000e+00,8.018181818181817633e-01,6.995882013101458741e-01
0.000000000000000000e+00,8.117171717171717260e-01,6.955969648435638142e-01
0.000000000000000000e+00,8.216161616161615777e-01,6.916079595383758383e-01
0.000000000000000000e+00,8.315151515151514294e-01,6.876212647318317162e-01
0.000000000000000000e+00,8.414141414141413922e-01,6.836369636775579961e-01
0.000000000000000000e+00,8.513131313131312439e-01,6.796551437892602854e-01
0.000000000000000000e+00,8.612121212121212066e-01,6.756758969024321271e-01
0.000000000000000000e+00,8.711111111111110583e-01,6.716993195555424068e-01
0.000000000000000000e+00,8.810101010101010210e-01,6.677255132923735070e-01
0.000000000000000000e+00,8.909090909090908728e-01,6.637545849872630299e-01
0.000000000000000000e+00,9.008080808080807245e-01,6.597866471952732459e-01
0.000000000000000000e+00,9.107070707070706872e-01,6.558218185293808178e-01
0.000000000000000000e+00,9.206060606060605389e-01,6.518602240670190451e-01
0.000000000000000000e+00,9.305050505050505016e-01,6.479019957885787662e-01
0.000000000000000000e+00,9.404040404040403534e-01,6.439472730506260456e-01
0.000000000000000000e+00,9.503030303030302051e-01,6.399962030968616711e-01
0.000000000000000000e+00,9.602020202020201678e-01,6.360489416102466098e-01
0.000000000000000000e+00,9.701010101010100195e-01,6.321056533098101671e-01
0.000000000000000000e+00,9.799999999999999822e-01,6.281665125962182517e-01
9.898989898989898548e-03,0.000000000000000000e+00,1.025279424005090201e+00
9.898989898989898548e-03,9.898989898989898548e-03,1.021216671405439147e+00
9.898989898989898548e-03,1.979797979797979710e-02,1.017154248182407628e+00
9.898989898989898548e-03,2.969696969696969391e-02,1.013092159842975182e+00
9.898989898989898548e-03,3.959595959595959419e-02,1.009030412022807521e+00
9.898989898989898548e-03,4.949494949494949447e-02,1.004969010490170511e+00
9.898989898989898548e-03,5.939393939393938782e-02,1.000907961149979153e+00
9.898989898989898548e-03,6.929292929292929504e-02,9.968472700479742432e-01
9.898989898989898548e-03,7.919191919191918838e-02,9.927869433751019823e-01
9.898989898989898548e-03,8.909090909090908172e-02,9.887269874720259200e-01
9.898989898989898548e-03,9.898989898989898895e-02,9.846674088338318587e-01
9.898989898989898548e-03,1.088888888888888823e-01,9.806082141148995124e-01
9.898989898989898548e-03,1.187878787878787756e-01,9.765494101339698974e-01
9.898989898989898548e-03,1.286868686868686829e-01,9.724910038794291056e-01
9.898989898989898548e-03,1.385858585858585901e-01,9.684330025147692700e-01
9.898989898989898548e-03,1.484848484848484695e-01,9.643754133842633580e-01
9.898989898989898548e-03,1.583838383838383768e-01,9.603182440189430569e-01
9.898989898989898548e-03,1.682828282828282840e-01,9.562615021426909001e-01
9.898989898989898548e-03,1.781818181818181634e-01,9.522051956787018767e-01
9.898989898989898548e-03,1.880808080808080707e-01,9.481493327561263396e-01
9.898989898989898548e-03,1.979797979797979779e-01,9.440939217170238873e-01
9.898989898989898548e-03,2.078787878787878574e-01,9.400389711236163404e-01
9.898989898989898548e-03,2.177777777777777646e-01,9.359844897657912943e-01
9.898989898989898548e-03,2.276767676767676718e-01,9.319304866689925859e-01
9.898989898989898548e-03,2.375757575757575513e-01,9.278769711023799882e-01
9.898989898989898548e-03,2.474747474747474585e-01,9.238239525873965796e-01
9.898989898989898548e-03,2.573737373737373657e-01,9.197714409066558572e-01
9.898989898989898548e-03,2.672727272727272729e-01,9.157194461132391883e-01
9.898989898989898548e-03,2.771717171717171802e-01,9.116679785404061542e-01
9.898989898989898548e-03,2.870707070707070319e-01,9.076170488117031310e-01
9.898989898989898548e-03,2.969696969696969391e-01,9.035666678515622552e-01
9.898989898989898548e-03,3.068686868686868463e-01,8.995168468963415931e-01
9.898989898989898548e-03,3.167676767676767535e-01,8.954675975058764559e-01
9.898989898989898548e-03,3.266666666666666607e-01,8.914189315755590703e-01
9.898989898989898548e-03,3.365656565656565680e-01,8.873708613489563746e-01
9.898989898989898548e-03,3.464646464646464752e-01,8.833233994310319970e-01
9.898989898989898548e-03,3.563636363636363269e-01,8.792765588019825218e-01
9.898989898989898548e-03,3.662626262626262341e-01,8.752303528316863757e-01
9.898989898989898548e-03,3.761616161616161413e-01,8.711847952948990059e-01
9.898989898989898548e-03,3.860606060606060486e-01,8.671399003870983169e-01
9.898989898989898548e-03,3.959595959595959558e-01,8.630956827411833121e-01
9.898989898989898548e-03,4.058585858585858630e-01,8.590521574448869435e-01
9.898989898989898548e-03,4.157575757575757147e-01,8.550093400591047832e-01
9.898989898989898548e-03,4.256565656565656219e-01,8.509672466371124289e-01
9.898989898989898548e-03,4.355555555555555292e-01,8.469258937447250446e-01
9.898989898989898548e-03,4.454545454545454364e-01,8.428852984814853011e-01
9.898989898989898548e-03,4.553535353535353436e-01,8.388454785028970351e-01
9.898989898989898548e-03,4.652525252525252508e-01,8.348064520438316372e-01
9.898989898989898548e-03,4.751515151515151025e-01,8.307682379431082786e-01
9.898989898989898548e-03,4.850505050505050098e-01,8.267308556693455657e-01
9.898989898989898548e-03,4.949494949494949170e-01,8.226943253482048579e-01
9.898989898989898548e-03,5.048484848484848797e-01,8.186586677910110410e-01
9.898989898989898548e-03,5.147474747474747314e-01,8.146239045249623612e-01
9.898989898989898548e-03,5.246464646464645831e-01,8.105900578249130017e-01
9.898989898989898548e-03,5.345454545454545459e-01,8.065571507468928258e-01
9.898989898989898548e-03,5.444444444444443976e-01,8.025252071634911832e-01
9.898989898989898548e-03,5.543434343434343603e-01,7.984942518011244328e-01
9.898989898989898548e-03,5.642424242424242120e-01,7.944643102794567424e-01
9.898989898989898548e-03,5.741414141414140637e-01,7.904354091529678383e-01
9.898989898989898548e-03,5.840404040404040265e-01,7.864075759549199462e-01
9.898989898989898548e-03,5.939393939393938782e-01,7.823808392438181825e-01
9.898989898989898548e-03,6.038383838383838409e-01,7.783552286525692310e-01
