# x, r_0
0.000000000000000000e+00,1.584113221881891853e+00
9.898989898989898548e-03,1.581114914890876744e+00
1.979797979797979710e-02,1.578119076860825754e+00
2.969696969696969391e-02,1.575125712677556855e+00
3.959595959595959419e-02,1.572134827202441132e+00
4.949494949494949447e-02,1.569146425272135215e+00
5.939393939393938782e-02,1.566160511698376334e+00
6.929292929292929504e-02,1.563177091267781371e+00
7.919191919191918838e-02,1.560196168741541323e+00
8.909090909090908172e-02,1.557217748855286299e+00
9.898989898989898895e-02,1.554241836318824177e+00
1.088888888888888823e-01,1.551268435815907232e+00
1.187878787878787756e-01,1.548297552004056499e+00
1.286868686868686829e-01,1.545329189514327517e+00
1.385858585858585901e-01,1.542363352951092725e+00
1.484848484848484695e-01,1.539400046891861384e+00
1.583838383838383768e-01,1.536439275887042655e+00
1.682828282828282840e-01,1.533481044459769294e+00
1.781818181818181634e-01,1.530525357105701367e+00
1.880808080808080707e-01,1.527572218292800654e+00
1.979797979797979779e-01,1.524621632461175214e+00
2.078787878787878574e-01,1.521673604022875548e+00
2.177777777777777646e-01,1.518728137361693875e+00
2.276767676767676718e-01,1.515785236833011584e+00
2.375757575757575513e-01,1.512844906763600950e+00
2.474747474747474585e-01,1.509907151451437946e+00
2.573737373737373657e-01,1.506971975165566358e+00
2.672727272727272729e-01,1.504039382145887283e+00
2.771717171717171802e-01,1.501109376603020351e+00
2.870707070707070319e-01,1.498181962718140081e+00
2.969696969696969391e-01,1.495257144642795577e+00
3.068686868686868463e-01,1.492334926498787073e+00
3.167676767676767535e-01,1.489415312377987632e+00
3.266666666666666607e-01,1.486498306342208586e+00
3.365656565656565680e-01,1.483583912423053874e+00
3.464646464646464752e-01,1.480672134621780600e+00
3.563636363636363269e-01,1.477762976909162251e+00
3.662626262626262341e-01,1.474856443225356806e+00
3.761616161616161413e-01,1.471952537479775280e+00
3.860606060606060486e-01,1.469051263550949837e+00
3.959595959595959558e-01,1.466152625286452293e+00
4.058585858585858630e-01,1.463256626502720259e+00
4.157575757575757147e-01,1.460363270984987860e+00
4.256565656565656219e-01,1.457472562487160950e+00
4.355555555555555292e-01,1.454584504731719630e+00
4.454545454545454364e-01,1.451699101409612780e+00
4.553535353535353436e-01,1.448816356180172349e+00
4.652525252525252508e-01,1.445936272671001444e+00
4.751515151515151025e-01,1.443058854477926589e+00
4.850505050505050098e-01,1.440184105164866057e+00
4.949494949494949170e-01,1.437312028263802555e+00
5.048484848484848797e-01,1.434442627274669757e+00
5.147474747474747314e-01,1.431575905665309678e+00
5.246464646464645831e-01,1.428711866871393621e+00
5.345454545454545459e-01,1.425850514296373772e+00
5.444444444444443976e-01,1.422991851311416589e+00
5.543434343434343603e-01,1.420135881255372379e+00
5.642424242424242120e-01,1.417282607434701802e+00
5.741414141414140637e-01,1.414432033123462995e+00
5.840404040404040265e-01,1.411584161563251616e+00
5.939393939393938782e-01,1.408738995963201290e+00
6.038383838383838409e-01,1.405896539499909670e+00
6.137373737373736926e-01,1.403056795317473293e+00
6.236363636363636553e-01,1.400219766527428744e+00
6.335353535353535070e-01,1.397385456208751098e+00
6.434343434343433588e-01,1.394553867407863024e+00
6.533333333333333215e-01,1.391725003138606809e+00
6.632323232323231732e-01,1.388898866382280994e+00
6.731313131313131359e-01,1.386075460087613065e+00
6.830303030303029876e-01,1.383254787170790978e+00
6.929292929292929504e-01,1.380436850515486258e+00
7.028282828282828021e-01,1.377621652972866428e+00
7.127272727272726538e-01,1.374809197361633872e+00
7.226262626262626165e-01,1.371999486468028717e+00
7.325252525252524682e-01,1.369192523045923426e+00
7.424242424242424310e-01,1.366388309816806590e+00
7.523232323232322827e-01,1.363586849469883733e+00
7.622222222222221344e-01,1.360788144662081089e+00
7.721212121212120971e-01,1.357992198018147079e+00
7.820202020202019488e-01,1.355199012130691161e+00
7.919191919191919116e-01,1.352408589560269103e+00
8.018181818181817633e-01,1.349620932835436271e+00
8.117171717171717260e-01,1.346836044452851100e+00
8.216161616161615777e-01,1.344053926877343041e+00
8.315151515151514294e-01,1.341274582542009153e+00
8.414141414141413922e-01,1.338498013848318013e+00
8.513131313131312439e-01,1.335724223166181002e+00
8.612121212121212066e-01,1.332953212834099954e+00
8.711111111111110583e-01,1.330184985159240885e+00
8.810101010101010210e-01,1.327419542417567877e+00
8.909090909090908728e-01,1.324656886853966098e+00
9.008080808080807245e-01,1.321897020682361923e+00
9.107070707070706872e-01,1.319139946085847725e+00
9.206060606060605389e-01,1.316385665216843304e+00
9.305050505050505016e-01,1.313634180197201795e+00
9.404040404040403534e-01,1.310885493118394862e+00
9.503030303030302051e-01,1.308139606041637926e+00
9.602020202020201678e-01,1.305396520998058030e+00
9.701010101010100195e-01,1.302656239988853937e+00
9.799999999999999822e-01,1.299918764985466213e+00
