X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
5.536733117,2.842624213,1.382806915,0.799903092,1.130328426,1.562022793,1.522329267,1.136366392,0.634011803,0.332465072,0.358579905,0.217974307,0.170486364,0.089238359,0.064139277,0.023709161
2.774637539,17.89327217,3.25733696,0.938019129,0.565318838,1.177134653,1.306986333,1.184906362,0.885994755,0.374567541,0.266503414,0.187758092,0.173361106,0.083224176,0.047195441,0.022894536
1.066741749,4.880189195,13.26828446,1.804886411,0.794881089,0.658974436,0.822685385,0.877248099,0.894648853,0.478727667,0.273493938,0.110362988,0.086454117,0.066528743,0.05084966,0.024046972
0.571139335,1.328727702,5.336237828,16.20029625,2.505429642,1.18721897,0.783447309,0.913803408,0.901306247,0.732168127,0.42419844,0.201590776,0.124417622,0.039902081,0.024462469,0.011978219
0.838118138,0.699667178,0.799692245,4.573103001,5.427756967,2.328753923,1.270847713,0.975253643,0.772390587,0.743599774,0.547670455,0.304987025,0.190454934,0.023996338,0.026059672,0.013614009
1.440818637,0.827859599,0.491308525,1.3534773,2.801393091,3.282837024,1.756456988,1.204024102,0.947321455,0.714704623,0.673333896,0.367473501,0.24156024,0.026459945,0.01308065,0.009529788
1.348483695,1.775316556,1.29594558,0.69462002,1.164492979,1.800648652,1.940885053,1.435909804,1.037407409,0.768122061,0.587115844,0.402891769,0.2484899,0.029231443,0.019195582,0.009583473
1.201585169,1.734167845,1.353106697,0.917808646,0.713829603,1.194268681,1.345613319,1.624658622,1.314824305,0.834591499,0.647386076,0.343215145,0.200530228,0.046590211,0.027065886,0.00693473
0.853965074,1.388123096,1.399194739,1.259267374,0.818892556,0.983713148,1.175699294,1.240836038,1.418136693,1.045921433,0.792035951,0.329332824,0.242236137,0.039893841,0.021674465,0.010306921
0.487231909,0.948251514,1.025828597,1.425579125,0.696712184,0.753496276,0.8674656,0.96616673,0.964837906,0.945753962,0.707439412,0.399662327,0.191260621,0.023364537,0.019248319,0.015205156
0.651494726,1.018830248,1.273321107,1.293930011,0.811033195,1.000109688,0.924790959,0.86963213,1.135314484,1.161831892,0.965353623,0.629385408,0.262768286,0.028067063,0.022240862,0.020519277
0.749966522,0.984708008,0.943427994,0.846919359,0.548146713,0.788070801,0.878401689,0.731857316,0.845482889,0.728439975,0.783689426,0.613918674,0.34960708,0.040765864,0.018313758,0.018721823
0.982291596,1.130807196,0.996888834,0.749353902,0.550543753,0.714637739,0.763216058,0.853651335,0.766513512,0.735117175,0.671520249,0.700094691,0.340487652,0.113123556,0.045383859,0.010710406
0.446738933,0.78025315,0.68823912,0.279298603,0.192602769,0.163600053,0.239967224,0.268556293,0.17632721,0.097157056,0.110018004,0.105941515,0.103682476,0.071771314,0.062733504,0.012072465
0.379090139,1.241434599,0.997723656,0.709278568,0.136476919,0.218310793,0.192440246,0.327469737,0.192769735,0.246719224,0.196675103,0.165772608,0.18739188,0.145855518,0.08054724,0.084670586
0.498739246,0.71848519,1.058751176,0.78719832,0.140753941,0.148121231,0.131017305,0.23065188,0.226598526,0.214245295,0.233863099,0.181518087,0.068061691,0.100132394,0.063665059,0.039188585
