X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0,0,0,0,0,0,0,0,0,0,0,0,0,8.20605E-92,1.20585E-05,3.1644E-125
0,0,0,0,0,0,0,0,0,0,0,0,0,1.34956E-05,7.64591E-79,2.38392E-65
0,0,0.357237058,0.041526409,0.041761344,0.011810749,0.096036406,0.027347608,0.096716919,0.058643179,0.026233559,8.25524E-08,2.48205E-16,2.7978E-53,4.95801E-06,3.7772E-102
0,0,0.074014697,0.680988539,0.513945693,0.288908924,0.267962037,0.248891384,0.279374684,0.229893884,0.152518118,0.09246978,0.053656302,8.347E-06,2.85973E-06,1.88926E-31
0,0,0.091231725,0.346394974,0.631491213,0.591564392,0.49121758,0.540794696,0.411404563,0.343914947,0.296660527,0.174145411,0.139174373,9.86113E-06,1.32609E-05,3.74318E-06
0,0,0.114684543,0.297605602,0.587420923,0.966906477,0.688369471,0.671548079,0.625101886,0.457443133,0.424802971,0.25075739,0.181450823,1.60675E-05,1.01183E-05,3.01443E-06
0,0,0.12928234,0.160011159,0.404957841,0.652634647,0.849730441,0.744611998,0.672355944,0.572957538,0.390439928,0.291064253,0.169038338,1.63796E-05,4.10101E-06,3.49479E-06
0,0,0.079440188,0.318903025,0.335658101,0.612507872,0.65255042,0.900999492,0.883185628,0.637927878,0.524748466,0.266777334,0.11970347,1.22989E-05,9.13513E-06,6.02097E-06
0,0,0.090449058,0.200679674,0.398073801,0.610374487,0.716267337,0.765918629,0.945464532,0.792927181,0.64384228,0.285395381,0.176852447,1.43626E-05,1.02722E-05,1.29504E-05
0,0,0.125960416,0.261823814,0.283181676,0.478916138,0.610920064,0.671124101,0.699575212,0.712652702,0.518599057,0.337157616,0.147027993,1.6281E-05,1.08244E-05,6.09172E-06
0,0,0.150981821,0.217103715,0.261306493,0.534905416,0.620350968,0.645481559,0.880676863,0.886655414,0.760996348,0.471701295,0.194795057,1.1808E-05,1.18227E-05,1.01613E-05
0,0,0.306166669,0.192004457,0.231714074,0.41660078,0.576289719,0.542947478,0.69936198,0.575836983,0.603126984,0.482187571,0.241836198,1.34978E-05,6.5874E-06,6.65717E-06
0,0,0.26472457,0.06668419,0.235891056,0.410970029,0.450415076,0.531886398,0.579468379,0.590587979,0.509783897,0.502766672,0.212466529,2.0302E-05,8.26102E-06,1.48398E-05
7.603E-06,3.36327E-06,7.64855E-06,2.27622E-05,3.14933E-05,7.89308E-05,7.24213E-05,2.91748E-05,6.61874E-05,5.95693E-05,7.70713E-05,5.30688E-05,4.6603E-05,1.41633E-05,2.49066E-05,1.19109E-05
5.78864E-55,7.88785E-42,2.5483E-06,2.60648E-05,1.68036E-05,2.12447E-05,3.57268E-05,4.02377E-05,3.56402E-05,3.09769E-05,2.13053E-05,4.49709E-05,2.61368E-05,1.68266E-05,1.66514E-05,2.60823E-05
2.3572E-141,9.06872E-97,1.18637E-89,9.39934E-22,4.66E-05,4.69664E-05,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.06804E-05,7.26342E-75,1.10074E-65,1.02832E-05,5.16903E-49,8.28041E-43
