X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
4.728318081,1.89245184,0.770058301,0.51534654,0.75653614,1.052438233,0.998749715,0.67312454,0.407211186,0.20945476,0.255228267,0.123414372,0.118323888,0.062811485,0.05512839,0.014722121
2.060590692,7.176022026,2.09122909,0.525537127,0.386507159,0.698718997,0.700499565,0.611156937,0.461878493,0.161151256,0.130096266,0.078075899,0.104726812,0.048212383,0.031994125,0.013410067
0.527916869,2.594953419,7.298819877,1.033561476,0.593644782,0.457316655,0.433495585,0.407119187,0.420016902,0.193767494,0.128338086,0.046221281,0.046846974,0.029895097,0.029698847,0.014506537
0.261135349,0.760029734,2.812075622,7.640308812,1.606222429,0.684337662,0.355889228,0.33466693,0.306199905,0.197756269,0.090009419,0.025887636,0.027403743,0.015391673,0.012844607,0.004840847
0.321928779,0.379112865,0.449447149,2.6220928,3.682258552,1.325901379,0.645192216,0.336596524,0.23386395,0.198056879,0.121265686,0.046514194,0.027026383,0.012812915,0.019635159,0.008780846
0.506892156,0.243630494,0.174408149,0.617700477,1.498549686,1.741941733,0.813357455,0.42776388,0.255532495,0.168009605,0.143182221,0.044465469,0.025299658,0.011634097,0.01020178,0.002919297
0.420467535,0.276312853,0.333748022,0.241023463,0.554164994,0.742144802,0.764321545,0.42859928,0.240964555,0.13369683,0.136721312,0.057151447,0.037777268,0.017013715,0.01200215,0.006331475
0.299686497,0.326608115,0.195624778,0.131182155,0.27136891,0.433863447,0.445875623,0.426652227,0.265780591,0.123876504,0.085137719,0.039081168,0.048467688,0.020943937,0.017286339,0.003883649
0.183272393,0.219892173,0.273939908,0.159371847,0.24843019,0.271729307,0.307981151,0.261379615,0.253283073,0.112012462,0.077489172,0.021111423,0.028878484,0.012671131,0.013506649,0.003237674
0.040210521,0.06111687,0.063306631,0.109351854,0.130534035,0.147602535,0.148642109,0.130413122,0.11178329,0.083203212,0.065276681,0.017309678,0.017777543,0.007276056,0.009085993,0.003983296
0.064481257,0.111900635,0.101010205,0.135995937,0.21568518,0.249402287,0.150087474,0.114344764,0.115598598,0.093777073,0.074271452,0.034084351,0.029911263,0.010213498,0.009431897,0.003610143
0.050842525,0.041832098,0.03578415,0.038464543,0.083651577,0.128444215,0.10930067,0.071228233,0.062195667,0.031832358,0.047097826,0.025470239,0.023813867,0.008309055,0.006452426,0.001989213
0.049346225,0.049896536,0.03414577,0.049133709,0.089931363,0.126068063,0.106842253,0.100577349,0.07748744,0.0455685,0.041576664,0.029846309,0.037483715,0.017084606,0.016788988,0.004000021
0.029321548,0.035846711,0.018112344,0.017269466,0.043779784,0.062288367,0.064748611,0.045575495,0.038758097,0.022380434,0.024937027,0.015641868,0.021420421,0.01166489,0.008659506,0.00293357
0.015392337,0.030176177,0.034567481,0.058427854,0.04704987,0.062498647,0.05285935,0.057786246,0.060449018,0.033088134,0.027282188,0.015782701,0.037506539,0.021128052,0.027286162,0.005647809
0.013483614,0.012685838,0.014897589,0.00745428,0.014167602,0.017233216,0.026869219,0.01693892,0.014436561,0.013002201,0.009560453,0.005344335,0.007303458,0.00608621,0.007427358,0.00286097
