X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0.321908188,0.044614303,0.00799421,0.008265317,0.005407981,0.022016193,0.040410338,0.030064014,0.014118021,0.016690479,0.009498921,0.007414308,0.001284233,0.000779888,8.2361E-66,6.3793E-120
0.05582559,9.961213059,0.330100032,0.044876783,0.053188006,0.126247724,0.134836013,0.104599651,0.091999909,0.050105634,0.043115846,0.009928825,0.00592495,0.00182011,0.00034725,8.08102E-39
0.00046292,1.281548381,4.515337044,0.170184318,0.02124559,0.061696075,0.052409552,0.070085797,0.067198901,0.041831846,0.030231408,0.012413455,0.004712797,0.000775349,4.92909E-25,0.000181872
0.002650596,0.067478778,1.705453746,7.145668867,0.104831826,0.083504397,0.077003565,0.089756358,0.068938081,0.063172028,0.035767715,0.016543109,0.005697801,0.001221427,6.20179E-33,1.70436E-70
0.007269008,0.042527867,0.01052894,1.072148944,0.606489854,0.062600991,0.03576959,0.037702281,0.022617949,0.023168416,0.012626495,0.007605079,0.000750752,0.001388922,0.000177099,1.21899E-47
0.007104438,0.175945904,0.034619781,0.213540851,0.346747902,0.185352776,0.02771527,0.03174531,0.035634309,0.026308212,0.007089872,0.010017003,0.00437194,0.002598066,0.000462862,0.001285221
0.01423564,0.48149189,0.203531831,0.153224506,0.053893747,0.086749012,0.068425679,0.041707558,0.043276177,0.019418709,0.01646534,0.002260885,0.005241921,0.000464536,1.65333E-48,3.11001E-55
0.024196271,0.233311939,0.111726518,0.066248348,0.018195678,0.048290965,0.059383863,0.03962701,0.042417716,0.017886498,0.0027685,0.006030212,0.000521798,0.00211846,1.8431E-123,9.69002E-67
0.007840904,0.121851312,0.064020113,0.298887468,0.008234764,0.022851244,0.019941724,0.024291154,0.050397079,0.015997974,0.01867737,0.004964366,0.005134759,0.000483022,4.80916E-68,2.40103E-92
0.065651166,0.210156604,0.093559974,0.378880075,0.004976671,0.023978536,0.042020881,0.033425011,0.030484459,0.016736986,0.021651776,0.009844607,0.002941172,0.001663871,6.2054E-134,3.27135E-72
0.017315163,0.353394752,0.306610938,0.370372974,0.005123482,0.01258326,0.032044566,0.029234331,0.035664729,0.0447239,0.023791815,0.012567471,0.004275055,8.90685E-24,1.2374E-117,5.64053E-78
0.061468567,0.244912617,0.161862795,0.19815082,0.00500265,0.041803017,0.015429705,0.024820198,0.031112115,0.021534091,0.019774066,0.022807728,0.008235068,1.11772E-31,0.000781675,0.00076225
0.036432716,0.074101304,0.028088129,0.145113498,0.013619271,0.001731513,0.014978486,0.039547159,0.008591841,0.012894108,0.0104698,0.005351184,0.020443417,0.011270122,4.42214E-67,2.12041E-37
0.001681024,0.035542402,0.011287849,8.622E-32,0.002179286,0.002073026,0.012905259,0.005478723,0.005470221,0.008555669,0.001953027,0.0147099,0.008236608,0.017644844,0.01112373,3.4568E-126
1.28089E-28,5.10766E-26,1.92693E-40,0.007592569,2.6349E-22,1.69656E-24,1.25793E-26,0.007616145,0.007844951,0.021138712,0.035196436,0.021428222,0.007738012,0.008013159,0.007912846,0.021382571
2.81656E-94,0.021107754,8.45253E-42,0.021225092,4.89567E-36,0.007587888,9.76655E-69,2.22981E-60,1.43639E-48,8.55591E-60,4.69295E-42,1.59777E-46,2.2095E-83,8.8583E-107,1.02043E-80,6.6141E-113
