# x, r_0
0.000000000000000000e+00,1.392451538294166458e+00
9.898989898989898548e-03,1.390464520253429592e+00
1.979797979797979710e-02,1.388477840596285651e+00
2.969696969696969391e-02,1.386491500531369159e+00
3.959595959595959419e-02,1.384505501273464834e+00
4.949494949494949447e-02,1.382519844043555324e+00
5.939393939393938782e-02,1.380534530068838750e+00
6.929292929292929504e-02,1.378549560582803979e+00
7.919191919191918838e-02,1.376564936825241947e+00
8.909090909090908172e-02,1.374580660042279856e+00
9.898989898989898895e-02,1.372596731486457333e+00
1.088888888888888823e-01,1.370613152416731317e+00
1.187878787878787756e-01,1.368629924098534234e+00
1.286868686868686829e-01,1.366647047803807746e+00
1.385858585858585901e-01,1.364664524811056712e+00
1.484848484848484695e-01,1.362682356405366946e+00
1.583838383838383768e-01,1.360700543878483160e+00
1.682828282828282840e-01,1.358719088528809182e+00
1.781818181818181634e-01,1.356737991661483012e+00
1.880808080808080707e-01,1.354757254588401461e+00
1.979797979797979779e-01,1.352776878628279666e+00
2.078787878787878574e-01,1.350796865106676181e+00
2.177777777777777646e-01,1.348817215356053811e+00
2.276767676767676718e-01,1.346837930715806264e+00
2.375757575757575513e-01,1.344859012532320319e+00
2.474747474747474585e-01,1.342880462159008026e+00
2.573737373737373657e-01,1.340902280956356663e+00
2.672727272727272729e-01,1.338924470291975366e+00
2.771717171717171802e-01,1.336947031540637099e+00
2.870707070707070319e-01,1.334969966084332160e+00
2.969696969696969391e-01,1.332993275312299275e+00
3.068686868686868463e-01,1.331016960621090428e+00
3.167676767676767535e-01,1.329041023414614164e+00
3.266666666666666607e-01,1.327065465104165787e+00
3.365656565656565680e-01,1.325090287108498632e+00
3.464646464646464752e-01,1.323115490853853382e+00
3.563636363636363269e-01,1.321141077774026007e+00
3.662626262626262341e-01,1.319167049310395301e+00
3.761616161616161413e-01,1.317193406911987275e+00
3.860606060606060486e-01,1.315220152035519563e+00
3.959595959595959558e-01,1.313247286145448500e+00
4.058585858585858630e-01,1.311274810714027739e+00
4.157575757575757147e-01,1.309302727221351104e+00
4.256565656565656219e-01,1.307331037155402997e+00
4.355555555555555292e-01,1.305359742012106361e+00
4.454545454545454364e-01,1.303388843295405053e+00
4.553535353535353436e-01,1.301418342517263405e+00
4.652525252525252508e-01,1.299448241197765919e+00
4.751515151515151025e-01,1.297478540865140584e+00
4.850505050505050098e-01,1.295509243055834148e+00
4.949494949494949170e-01,1.293540349314528326e+00
5.048484848484848797e-01,1.291571861194259041e+00
5.147474747474747314e-01,1.289603780256393994e+00
5.246464646464645831e-01,1.287636108070751018e+00
5.345454545454545459e-01,1.285668846215619388e+00
5.444444444444443976e-01,1.283701996277810897e+00
5.543434343434343603e-01,1.281735559852742234e+00
5.642424242424242120e-01,1.279769538544477170e+00
5.741414141414140637e-01,1.277803933965782512e+00
5.840404040404040265e-01,1.275838747738175405e+00
5.939393939393938782e-01,1.273873981492005258e+00
6.038383838383838409e-01,1.271909636866491722e+00
6.137373737373736926e-01,1.269945715509793738e+00
6.236363636363636553e-01,1.267982219079056394e+00
6.335353535353535070e-01,1.266019149240492636e+00
6.434343434343433588e-01,1.264056507669415463e+00
6.533333333333333215e-01,1.262094296050317421e+00
6.632323232323231732e-01,1.260132516076922116e+00
6.731313131313131359e-01,1.258171169452257487e+00
6.830303030303029876e-01,1.256210257888689341e+00
6.929292929292929504e-01,1.254249783108020821e+00
7.028282828282828021e-01,1.252289746841529494e+00
7.127272727272726538e-01,1.250330150830032183e+00
7.226262626262626165e-01,1.248370996823964463e+00
7.325252525252524682e-01,1.246412286583413298e+00
7.424242424242424310e-01,1.244454021878223626e+00
7.523232323232322827e-01,1.242496204488025668e+00
7.622222222222221344e-01,1.240538836202313977e+00
7.721212121212120971e-01,1.238581918820519601e+00
7.820202020202019488e-01,1.236625454152071146e+00
7.919191919191919116e-01,1.234669444016457396e+00
8.018181818181817633e-01,1.232713890243289256e+00
8.117171717171717260e-01,1.230758794672393241e+00
8.216161616161615777e-01,1.228804159153846998e+00
8.315151515151514294e-01,1.226849985548067012e+00
8.414141414141413922e-01,1.224896275725877448e+00
8.513131313131312439e-01,1.222943031568565209e+00
8.612121212121212066e-01,1.220990254967964983e+00
8.711111111111110583e-01,1.219037947826531409e+00
8.810101010101010210e-01,1.217086112057391478e+00
8.909090909090908728e-01,1.215134749584434681e+00
9.008080808080807245e-01,1.213183862342380070e+00
9.107070707070706872e-01,1.211233452276840872e+00
9.206060606060605389e-01,1.209283521344411083e+00
9.305050505050505016e-01,1.207334071512721207e+00
9.404040404040403534e-01,1.205385104760532844e+00
9.503030303030302051e-01,1.203436623077800860e+00
9.602020202020201678e-01,1.201488628465747110e+00
9.701010101010100195e-01,1.199541122936946591e+00
9.799999999999999822e-01,1.197594108515390499e+00
