# xI, xA, R0
0.000000000000000000e+00,0.000000000000000000e+00,1.998358919839189118e+00
0.000000000000000000e+00,9.898989898989898548e-03,1.990152446867062830e+00
0.000000000000000000e+00,1.979797979797979710e-02,1.981946622019791659e+00
0.000000000000000000e+00,2.969696969696969391e-02,1.973741453136703683e+00
0.000000000000000000e+00,3.959595959595959419e-02,1.965536948182583732e+00
0.000000000000000000e+00,4.949494949494949447e-02,1.957333115250205591e+00
0.000000000000000000e+00,5.939393939393938782e-02,1.949129962562867080e+00
0.000000000000000000e+00,6.929292929292929504e-02,1.940927498477003077e+00
0.000000000000000000e+00,7.919191919191918838e-02,1.932725731484847165e+00
0.000000000000000000e+00,8.909090909090908172e-02,1.924524670217177214e+00
0.000000000000000000e+00,9.898989898989898895e-02,1.916324323446118472e+00
0.000000000000000000e+00,1.088888888888888823e-01,1.908124700088010828e+00
0.000000000000000000e+00,1.187878787878787756e-01,1.899925809206343574e+00
0.000000000000000000e+00,1.286868686868686829e-01,1.891727660014766332e+00
0.000000000000000000e+00,1.385858585858585901e-01,1.883530261880182799e+00
0.000000000000000000e+00,1.484848484848484695e-01,1.875333624325890014e+00
0.000000000000000000e+00,1.583838383838383768e-01,1.867137757034826206e+00
0.000000000000000000e+00,1.682828282828282840e-01,1.858942669852879037e+00
0.000000000000000000e+00,1.781818181818181634e-01,1.850748372792296426e+00
0.000000000000000000e+00,1.880808080808080707e-01,1.842554876035142231e+00
0.000000000000000000e+00,1.979797979797979779e-01,1.834362189936894261e+00
0.000000000000000000e+00,2.078787878787878574e-01,1.826170325030070707e+00
0.000000000000000000e+00,2.177777777777777646e-01,1.817979292027996685e+00
0.000000000000000000e+00,2.276767676767676718e-01,1.809789101828657598e+00
0.000000000000000000e+00,2.375757575757575513e-01,1.801599765518593577e+00
0.000000000000000000e+00,2.474747474747474585e-01,1.793411294377000642e+00
0.000000000000000000e+00,2.573737373737373657e-01,1.785223699879809889e+00
0.000000000000000000e+00,2.672727272727272729e-01,1.777036993703973833e+00
0.000000000000000000e+00,2.771717171717171802e-01,1.768851187731832031e+00
0.000000000000000000e+00,2.870707070707070319e-01,1.760666294055543091e+00
0.000000000000000000e+00,2.969696969696969391e-01,1.752482324981682993e+00
0.000000000000000000e+00,3.068686868686868463e-01,1.744299293035960208e+00
0.000000000000000000e+00,3.167676767676767535e-01,1.736117210968025848e+00
0.000000000000000000e+00,3.266666666666666607e-01,1.727936091756430592e+00
0.000000000000000000e+00,3.365656565656565680e-01,1.719755948613703733e+00
0.000000000000000000e+00,3.464646464646464752e-01,1.711576794991570560e+00
0.000000000000000000e+00,3.563636363636363269e-01,1.703398644586301636e+00
0.000000000000000000e+00,3.662626262626262341e-01,1.695221511344201515e+00
0.000000000000000000e+00,3.761616161616161413e-01,1.687045409467252455e+00
0.000000000000000000e+00,3.860606060606060486e-01,1.678870353418909556e+00
0.000000000000000000e+00,3.959595959595959558e-01,1.670696357930055331e+00
0.000000000000000000e+00,4.058585858585858630e-01,1.662523438005074183e+00
0.000000000000000000e+00,4.157575757575757147e-01,1.654351608928162465e+00
0.000000000000000000e+00,4.256565656565656219e-01,1.646180886269753563e+00
0.000000000000000000e+00,4.355555555555555292e-01,1.638011285893116398e+00
0.000000000000000000e+00,4.454545454545454364e-01,1.629842823961196396e+00
0.000000000000000000e+00,4.553535353535353436e-01,1.621675516943557938e+00
0.000000000000000000e+00,4.652525252525252508e-01,1.613509381623592365e+00
0.000000000000000000e+00,4.751515151515151025e-01,1.605344435105887202e+00
0.000000000000000000e+00,4.850505050505050098e-01,1.597180694823799429e+00
0.000000000000000000e+00,4.949494949494949170e-01,1.589018178547255467e+00
0.000000000000000000e+00,5.048484848484848797e-01,1.580856904390759876e+00
0.000000000000000000e+00,5.147474747474747314e-01,1.572696890821645876e+00
0.000000000000000000e+00,5.246464646464645831e-01,1.564538156668529911e+00
0.000000000000000000e+00,5.345454545454545459e-01,1.556380721130034228e+00
0.000000000000000000e+00,5.444444444444443976e-01,1.548224603783721509e+00
0.000000000000000000e+00,5.543434343434343603e-01,1.540069824595343695e+00
0.000000000000000000e+00,5.642424242424242120e-01,1.531916403928318848e+00
0.000000000000000000e+00,5.741414141414140637e-01,1.523764362553434504e+00
0.000000000000000000e+00,5.840404040404040265e-01,1.515613721658955804e+00
0.000000000000000000e+00,5.939393939393938782e-01,1.507464502860884181e+00
0.000000000000000000e+00,6.038383838383838409e-01,1.499316728213635264e+00
0.000000000000000000e+00,6.137373737373736926e-01,1.491170420220961690e+00
0.000000000000000000e+00,6.236363636363636553e-01,1.483025601847196784e+00
0.000000000000000000e+00,6.335353535353535070e-01,1.474882296528883474e+00
0.000000000000000000e+00,6.434343434343433588e-01,1.466740528186676551e+00
0.000000000000000000e+00,6.533333333333333215e-01,1.458600321237655706e+00
0.000000000000000000e+00,6.632323232323231732e-01,1.450461700607992510e+00
0.000000000000000000e+00,6.731313131313131359e-01,1.442324691745977328e+00
0.000000000000000000e+00,6.830303030303029876e-01,1.434189320635461007e+00
0.000000000000000000e+00,6.929292929292929504e-01,1.426055613809690037e+00
0.000000000000000000e+00,7.028282828282828021e-01,1.417923598365578686e+00
0.000000000000000000e+00,7.127272727272726538e-01,1.409793301978400137e+00
0.000000000000000000e+00,7.226262626262626165e-01,1.401664752916941925e+00
0.000000000000000000e+00,7.325252525252524682e-01,1.393537980059105230e+00
0.000000000000000000e+00,7.424242424242424310e-01,1.385413012908021546e+00
0.000000000000000000e+00,7.523232323232322827e-01,1.377289881608637412e+00
0.000000000000000000e+00,7.622222222222221344e-01,1.369168616964827612e+00
0.000000000000000000e+00,7.721212121212120971e-01,1.361049250457051052e+00
0.000000000000000000e+00,7.820202020202019488e-01,1.352931814260561305e+00
0.000000000000000000e+00,7.919191919191919116e-01,1.344816341264158499e+00
0.000000000000000000e+00,8.018181818181817633e-01,1.336702865089602454e+00
0.000000000000000000e+00,8.117171717171717260e-01,1.328591420111573385e+00
0.000000000000000000e+00,8.216161616161615777e-01,1.320482041478313162e+00
0.000000000000000000e+00,8.315151515151514294e-01,1.312374765132907184e+00
0.000000000000000000e+00,8.414141414141413922e-01,1.304269627835280110e+00
0.000000000000000000e+00,8.513131313131312439e-01,1.296166667184865506e+00
0.000000000000000000e+00,8.612121212121212066e-01,1.288065921644032441e+00
0.000000000000000000e+00,8.711111111111110583e-01,1.279967430562293673e+00
0.000000000000000000e+00,8.810101010101010210e-01,1.271871234201261913e+00
0.000000000000000000e+00,8.909090909090908728e-01,1.263777373760471168e+00
0.000000000000000000e+00,9.008080808080807245e-01,1.255685891404008547e+00
0.000000000000000000e+00,9.107070707070706872e-01,1.247596830288093095e+00
0.000000000000000000e+00,9.206060606060605389e-01,1.239510234589485949e+00
0.000000000000000000e+00,9.305050505050505016e-01,1.231426149534932124e+00
0.000000000000000000e+00,9.404040404040403534e-01,1.223344621431538659e+00
0.000000000000000000e+00,9.503030303030302051e-01,1.215265697698195035e+00
0.000000000000000000e+00,9.602020202020201678e-01,1.207189426898053197e+00
