# day, deaths
0.000000000000000000e+00,2.967538931792316725e+04
1.000000000000000000e+00,2.967538931792316725e+04
2.000000000000000000e+00,2.968053340657979788e+04
3.000000000000000000e+00,2.968889535894329310e+04
4.000000000000000000e+00,2.969926455273116881e+04
5.000000000000000000e+00,2.971072642303984685e+04
6.000000000000000000e+00,2.972264261481710855e+04
7.000000000000000000e+00,2.973459343778257244e+04
8.000000000000000000e+00,2.974631705999044061e+04
9.000000000000000000e+00,2.975765918384547695e+04
1.000000000000000000e+01,2.976853590242393693e+04
1.100000000000000000e+01,2.977890800180893348e+04
1.200000000000000000e+01,2.978876388336635864e+04
1.300000000000000000e+01,2.979810851674321384e+04
1.400000000000000000e+01,2.980695643429387928e+04
1.500000000000000000e+01,2.981532736135344749e+04
1.600000000000000000e+01,2.982324353450124181e+04
1.700000000000000000e+01,2.983072808643260942e+04
1.800000000000000000e+01,2.983780409743231576e+04
1.900000000000000000e+01,2.984449405914649833e+04
2.000000000000000000e+01,2.985081959048921635e+04
2.100000000000000000e+01,2.985680130561749684e+04
2.200000000000000000e+01,2.986245877193347405e+04
2.300000000000000000e+01,2.986781051998756084e+04
2.400000000000000000e+01,2.987287408210673311e+04
2.500000000000000000e+01,2.987766604585704044e+04
2.600000000000000000e+01,2.988220211419756379e+04
2.700000000000000000e+01,2.988649716769800580e+04
2.800000000000000000e+01,2.989056532632779999e+04
2.900000000000000000e+01,2.989442000960692530e+04
3.000000000000000000e+01,2.989807399467140931e+04
3.100000000000000000e+01,2.990153947223249997e+04
3.200000000000000000e+01,2.990482810066769161e+04
3.300000000000000000e+01,2.990795105860603144e+04
3.400000000000000000e+01,2.991091909644701082e+04
3.500000000000000000e+01,2.991374258728588029e+04
3.600000000000000000e+01,2.991643157773731582e+04
3.700000000000000000e+01,2.991899583916715346e+04
3.800000000000000000e+01,2.992144491985425338e+04
3.900000000000000000e+01,2.992378819862608725e+04
4.000000000000000000e+01,2.992603494053426402e+04
4.100000000000000000e+01,2.992819435517615784e+04
4.200000000000000000e+01,2.993027565830754975e+04
