# day, deaths
0.000000000000000000e+00,3.719468515332287643e+04
1.000000000000000000e+00,3.719468515332287643e+04
2.000000000000000000e+00,3.719468742024958192e+04
3.000000000000000000e+00,3.719469064361661731e+04
4.000000000000000000e+00,3.719469451464949088e+04
5.000000000000000000e+00,3.719469881495903246e+04
6.000000000000000000e+00,3.719470339493973734e+04
7.000000000000000000e+00,3.719470815496330033e+04
8.000000000000000000e+00,3.719471303077396442e+04
9.000000000000000000e+00,3.719471798284680699e+04
1.000000000000000000e+01,3.719472298893218249e+04
1.100000000000000000e+01,3.719472803897254198e+04
1.200000000000000000e+01,3.719473313170862821e+04
1.300000000000000000e+01,3.719473827246473229e+04
1.400000000000000000e+01,3.719474347174252762e+04
1.500000000000000000e+01,3.719474874437304970e+04
1.600000000000000000e+01,3.719475410905301396e+04
1.700000000000000000e+01,3.719475958815457125e+04
1.800000000000000000e+01,3.719476520773094671e+04
1.900000000000000000e+01,3.719477099767301843e+04
2.000000000000000000e+01,3.719477699198764458e+04
2.100000000000000000e+01,3.719478322917850164e+04
2.200000000000000000e+01,3.719478975272392563e+04
2.300000000000000000e+01,3.719479661164870777e+04
2.400000000000000000e+01,3.719480386119155446e+04
2.500000000000000000e+01,3.719481156357473810e+04
2.600000000000000000e+01,3.719481978888331651e+04
2.700000000000000000e+01,3.719482861606804363e+04
2.800000000000000000e+01,3.719483813408160495e+04
2.900000000000000000e+01,3.719484844316628005e+04
3.000000000000000000e+01,3.719485965631186264e+04
3.100000000000000000e+01,3.719487190090431250e+04
3.200000000000000000e+01,3.719488532058893907e+04
3.300000000000000000e+01,3.719490007737551787e+04
3.400000000000000000e+01,3.719491635401709937e+04
3.500000000000000000e+01,3.719493435669728933e+04
3.600000000000000000e+01,3.719495431806439592e+04
3.700000000000000000e+01,3.719497650065999187e+04
3.800000000000000000e+01,3.719500120078885811e+04
3.900000000000000000e+01,3.719502875289048097e+04
4.000000000000000000e+01,3.719505953447544016e+04
4.100000000000000000e+01,3.719509397169889417e+04
4.200000000000000000e+01,3.719513254565306852e+04
4.300000000000000000e+01,3.719517579947460035e+04
