# day, deaths
0.000000000000000000e+00,1.767371446852435474e+04
1.000000000000000000e+00,1.767371446852435474e+04
2.000000000000000000e+00,1.780450909884103021e+04
3.000000000000000000e+00,1.800846712422621567e+04
4.000000000000000000e+00,1.826154760141442966e+04
5.000000000000000000e+00,1.854479173538306713e+04
6.000000000000000000e+00,1.884413434813589265e+04
7.000000000000000000e+00,1.914958205967101094e+04
8.000000000000000000e+00,1.945426283361155583e+04
9.000000000000000000e+00,1.975358049557444610e+04
1.000000000000000000e+01,2.004454685085724122e+04
1.100000000000000000e+01,2.032528770133804574e+04
1.200000000000000000e+01,2.059469160603516502e+04
1.300000000000000000e+01,2.085216606390845118e+04
1.400000000000000000e+01,2.109747061940543063e+04
1.500000000000000000e+01,2.133060340618453483e+04
1.600000000000000000e+01,2.155172412422207708e+04
1.700000000000000000e+01,2.176110158211545786e+04
1.800000000000000000e+01,2.195907771184543526e+04
1.900000000000000000e+01,2.214604261987694917e+04
2.000000000000000000e+01,2.232241705750267283e+04
2.100000000000000000e+01,2.248863991656773578e+04
2.200000000000000000e+01,2.264515916930018284e+04
2.300000000000000000e+01,2.279242520626386613e+04
2.400000000000000000e+01,2.293088587708435807e+04
2.500000000000000000e+01,2.306098276759459986e+04
2.600000000000000000e+01,2.318314839642347215e+04
2.700000000000000000e+01,2.329780411168895080e+04
2.800000000000000000e+01,2.340535853256807604e+04
2.900000000000000000e+01,2.350620642297864470e+04
3.000000000000000000e+01,2.360072791311784749e+04
3.100000000000000000e+01,2.368928800409781252e+04
3.200000000000000000e+01,2.377223630460053027e+04
3.300000000000000000e+01,2.384990695833762220e+04
3.400000000000000000e+01,2.392261872849154315e+04
3.500000000000000000e+01,2.399067521100508748e+04
3.600000000000000000e+01,2.405436515314545250e+04
3.700000000000000000e+01,2.411396285750826792e+04
3.800000000000000000e+01,2.416972865477432060e+04
3.900000000000000000e+01,2.422190943122260796e+04
4.000000000000000000e+01,2.427073919934735750e+04
4.100000000000000000e+01,2.431643970196536247e+04
4.200000000000000000e+01,2.435922104201231559e+04
4.300000000000000000e+01,2.439928233182114491e+04
4.400000000000000000e+01,2.443681235710445981e+04
4.500000000000000000e+01,2.447199025213305140e+04
4.600000000000000000e+01,2.450498618374742364e+04
4.700000000000000000e+01,2.453596204287466389e+04
4.800000000000000000e+01,2.456507214315889723e+04
4.900000000000000000e+01,2.459246392718386051e+04
5.000000000000000000e+01,2.461827868155094620e+04
5.100000000000000000e+01,2.464265226284064556e+04
5.200000000000000000e+01,2.466571583717481553e+04
5.300000000000000000e+01,2.468759663678488141e+04
5.400000000000000000e+01,2.470841873763472540e+04
5.500000000000000000e+01,2.472830386278529477e+04
5.600000000000000000e+01,2.474737221680708171e+04
5.700000000000000000e+01,2.476574335715051711e+04
5.800000000000000000e+01,2.478353710897647397e+04
5.900000000000000000e+01,2.480087453051716147e+04
6.000000000000000000e+01,2.481787893656787855e+04
6.100000000000000000e+01,2.483467698819840734e+04
6.200000000000000000e+01,2.485139985717949457e+04
6.300000000000000000e+01,2.486818447391769587e+04
6.400000000000000000e+01,2.488517486784720677e+04
6.500000000000000000e+01,2.490252360916363978e+04
6.600000000000000000e+01,2.492039336044660740e+04
6.700000000000000000e+01,2.493895854601426254e+04
6.800000000000000000e+01,2.495840714565665621e+04
6.900000000000000000e+01,2.497894261760122026e+04
7.000000000000000000e+01,2.500078595297854918e+04
7.100000000000000000e+01,2.502417786053132295e+04
7.200000000000000000e+01,2.504938107558633783e+04
7.300000000000000000e+01,2.507668278120297691e+04
7.400000000000000000e+01,2.510639712161238276e+04
7.500000000000000000e+01,2.513886777835288376e+04
7.600000000000000000e+01,2.517447056760744817e+04
7.700000000000000000e+01,2.521361600296464894e+04
7.800000000000000000e+01,2.525675175100898196e+04
7.900000000000000000e+01,2.530436488780163927e+04
8.000000000000000000e+01,2.535698384261517640e+04
8.100000000000000000e+01,2.541517989168813074e+04
8.200000000000000000e+01,2.547956804006645689e+04
8.300000000000000000e+01,2.555080710504502349e+04
8.400000000000000000e+01,2.562959879203936362e+04
8.500000000000000000e+01,2.571668553523686569e+04
8.600000000000000000e+01,2.581284686390486604e+04
8.700000000000000000e+01,2.591889405408725361e+04
8.800000000000000000e+01,2.603566283813019618e+04
8.900000000000000000e+01,2.616400397449763841e+04
9.000000000000000000e+01,2.630477153060958153e+04
9.100000000000000000e+01,2.645880880379507653e+04
9.200000000000000000e+01,2.662693190008023521e+04
9.300000000000000000e+01,2.680991110543024115e+04
9.400000000000000000e+01,2.700845031474204370e+04
9.500000000000000000e+01,2.722316492342628771e+04
9.600000000000000000e+01,2.745455872587465274e+04
9.700000000000000000e+01,2.770300049450367806e+04
9.800000000000000000e+01,2.796870102248043986e+04
9.900000000000000000e+01,2.825169149420120812e+04
1.000000000000000000e+02,2.855180409403668455e+04
1.010000000000000000e+02,2.886865577262464285e+04
1.020000000000000000e+02,2.920163606053093827e+04
1.030000000000000000e+02,2.954989975251494616e+04
1.040000000000000000e+02,2.991236518333443382e+04
1.050000000000000000e+02,3.028771867847503745e+04
1.060000000000000000e+02,3.067442558934633416e+04
1.070000000000000000e+02,3.107074811030707860e+04
1.080000000000000000e+02,3.147476982292623507e+04
1.090000000000000000e+02,3.188442662287140411e+04
1.100000000000000000e+02,3.229754336427474846e+04
1.110000000000000000e+02,3.271187522087569960e+04
1.120000000000000000e+02,3.312515243675695092e+04
1.130000000000000000e+02,3.353512685334137495e+04
1.140000000000000000e+02,3.393961838831169007e+04
1.150000000000000000e+02,3.433655953917140869e+04
1.160000000000000000e+02,3.472403601409243129e+04
1.170000000000000000e+02,3.510032176645328582e+04
1.180000000000000000e+02,3.546390702046573278e+04
1.190000000000000000e+02,3.581351829870603251e+04
1.200000000000000000e+02,3.614812995801903890e+04
1.210000000000000000e+02,3.646696725845270703e+04
1.220000000000000000e+02,3.676950147910276428e+04
1.230000000000000000e+02,3.705543800946009287e+04
1.240000000000000000e+02,3.732469865185291565e+04
1.250000000000000000e+02,3.757739955254332745e+04
1.260000000000000000e+02,3.781382623515823798e+04
1.270000000000000000e+02,3.803440715376371372e+04
1.280000000000000000e+02,3.823968703748035477e+04
1.290000000000000000e+02,3.843030109267911757e+04
1.300000000000000000e+02,3.860695089155895403e+04
1.310000000000000000e+02,3.877038253319924115e+04
1.320000000000000000e+02,3.892136743541584292e+04
1.330000000000000000e+02,3.906068591691790061e+04
1.340000000000000000e+02,3.918911356710730615e+04
1.350000000000000000e+02,3.930741027775655675e+04
1.360000000000000000e+02,3.941631172512598278e+04
1.370000000000000000e+02,3.951652303853107878e+04
1.380000000000000000e+02,3.960871436623531918e+04
1.390000000000000000e+02,3.969351804568505031e+04
1.400000000000000000e+02,3.977152709664720169e+04
1.410000000000000000e+02,3.984329477758001303e+04
1.420000000000000000e+02,3.990933497329553938e+04
1.430000000000000000e+02,3.997012321233533294e+04
1.440000000000000000e+02,4.002609814305357577e+04
1.450000000000000000e+02,4.007766332653201243e+04
1.460000000000000000e+02,4.012518923109279422e+04
1.470000000000000000e+02,4.016901533680989814e+04
1.480000000000000000e+02,4.020945227882388281e+04
1.490000000000000000e+02,4.024678397552474780e+04
1.500000000000000000e+02,4.028126970194188470e+04
1.510000000000000000e+02,4.031314608031711396e+04
1.520000000000000000e+02,4.034262896910815471e+04
1.530000000000000000e+02,4.036991523897269508e+04
1.540000000000000000e+02,4.039518442988020252e+04
1.550000000000000000e+02,4.041860028774323291e+04
1.560000000000000000e+02,4.044031218205890036e+04
1.570000000000000000e+02,4.046045640827421448e+04
1.580000000000000000e+02,4.047915738009340566e+04
1.590000000000000000e+02,4.049652871790861536e+04
1.600000000000000000e+02,4.051267424008345552e+04
1.610000000000000000e+02,4.052768886404620571e+04
1.620000000000000000e+02,4.054165942415788595e+04
1.630000000000000000e+02,4.055466541315658105e+04
1.640000000000000000e+02,4.056677965370570018e+04
1.650000000000000000e+02,4.057806890623346408e+04
1.660000000000000000e+02,4.058859441885682463e+04
1.670000000000000000e+02,4.059841242477508786e+04
