# day, deaths
0.000000000000000000e+00,3.957209106152238382e+04
1.000000000000000000e+00,3.957209106152238382e+04
2.000000000000000000e+00,3.957209119679922151e+04
3.000000000000000000e+00,3.957209135479322867e+04
4.000000000000000000e+00,3.957209153168150806e+04
5.000000000000000000e+00,3.957209172530278738e+04
6.000000000000000000e+00,3.957209193468795274e+04
7.000000000000000000e+00,3.957209215973819664e+04
8.000000000000000000e+00,3.957209240101744945e+04
9.000000000000000000e+00,3.957209265962151403e+04
1.000000000000000000e+01,3.957209293710326892e+04
1.100000000000000000e+01,3.957209323543436767e+04
1.200000000000000000e+01,3.957209355699633306e+04
1.300000000000000000e+01,3.957209390458860435e+04
1.400000000000000000e+01,3.957209428145419952e+04
1.500000000000000000e+01,3.957209469131505466e+04
1.600000000000000000e+01,3.957209513842104207e+04
1.700000000000000000e+01,3.957209562760654080e+04
1.800000000000000000e+01,3.957209616436030774e+04
1.900000000000000000e+01,3.957209675490236987e+04
2.000000000000000000e+01,3.957209740627590509e+04
2.100000000000000000e+01,3.957209812644970225e+04
2.200000000000000000e+01,3.957209892443598801e+04
2.300000000000000000e+01,3.957209981042244181e+04
2.400000000000000000e+01,3.957210079592348484e+04
2.500000000000000000e+01,3.957210189394978806e+04
2.600000000000000000e+01,3.957210311920182721e+04
2.700000000000000000e+01,3.957210448828675726e+04
2.800000000000000000e+01,3.957210601996445621e+04
2.900000000000000000e+01,3.957210773542623792e+04
3.000000000000000000e+01,3.957210965860784199e+04
3.100000000000000000e+01,3.957211181654564280e+04
3.200000000000000000e+01,3.957211423977625964e+04
3.300000000000000000e+01,3.957211696278989984e+04
3.400000000000000000e+01,3.957212002454158210e+04
3.500000000000000000e+01,3.957212346902844001e+04
3.600000000000000000e+01,3.957212734594302310e+04
3.700000000000000000e+01,3.957213171140855411e+04
3.800000000000000000e+01,3.957213662881196069e+04
3.900000000000000000e+01,3.957214216974333976e+04
4.000000000000000000e+01,3.957214841505669756e+04
4.100000000000000000e+01,3.957215545606818341e+04
4.200000000000000000e+01,3.957216339590985444e+04
4.300000000000000000e+01,3.957217235105567670e+04
4.400000000000000000e+01,3.957218245304925222e+04
4.500000000000000000e+01,3.957219385044950468e+04
4.600000000000000000e+01,3.957220671103025234e+04
4.700000000000000000e+01,3.957222122426339774e+04
4.800000000000000000e+01,3.957223760412196134e+04
4.900000000000000000e+01,3.957225609224299842e+04
5.000000000000000000e+01,3.957227696149960684e+04
5.100000000000000000e+01,3.957230052003176388e+04
5.200000000000000000e+01,3.957232711579455645e+04
5.300000000000000000e+01,3.957235714169224957e+04
5.400000000000000000e+01,3.957239104136909009e+04
5.500000000000000000e+01,3.957242931574393879e+04
5.600000000000000000e+01,3.957247253038032795e+04
5.700000000000000000e+01,3.957252132379834802e+04
5.800000000000000000e+01,3.957257641684640839e+04
5.900000000000000000e+01,3.957263862326757226e+04
6.000000000000000000e+01,3.957270886160612281e+04
6.100000000000000000e+01,3.957278816862573876e+04
6.200000000000000000e+01,3.957287771441989753e+04
6.300000000000000000e+01,3.957297881942817185e+04
6.400000000000000000e+01,3.957309297358742333e+04
6.500000000000000000e+01,3.957322185787519265e+04
6.600000000000000000e+01,3.957336736853464390e+04
6.700000000000000000e+01,3.957353164429659228e+04
6.800000000000000000e+01,3.957371709694791934e+04
6.900000000000000000e+01,3.957392644563400245e+04
7.000000000000000000e+01,3.957416275531557039e+04
7.100000000000000000e+01,3.957442947984345665e+04
7.200000000000000000e+01,3.957473051014752127e+04
7.300000000000000000e+01,3.957507022808297188e+04
7.400000000000000000e+01,3.957545356650493341e+04
7.500000000000000000e+01,3.957588607618545939e+04
7.600000000000000000e+01,3.957637400020535279e+04
7.700000000000000000e+01,3.957692435647625098e+04
7.800000000000000000e+01,3.957754502905220579e+04
7.900000000000000000e+01,3.957824486886932573e+04
8.000000000000000000e+01,3.957903380451695557e+04
8.100000000000000000e+01,3.957992296356032602e+04
8.200000000000000000e+01,3.958092480481307575e+04
8.300000000000000000e+01,3.958205326177760435e+04
8.400000000000000000e+01,3.958332389720756328e+04
8.500000000000000000e+01,3.958475406839903735e+04
8.600000000000000000e+01,3.958636310234662960e+04
8.700000000000000000e+01,3.958817247929578298e+04
8.800000000000000000e+01,3.959020602243924804e+04
8.900000000000000000e+01,3.959249009054850467e+04
9.000000000000000000e+01,3.959505376912546490e+04
9.100000000000000000e+01,3.959792905423107732e+04
9.200000000000000000e+01,3.960115102143626427e+04
9.300000000000000000e+01,3.960475797038243036e+04
9.400000000000000000e+01,3.960879153321048943e+04
9.500000000000000000e+01,3.961329673271041247e+04
9.600000000000000000e+01,3.961832197350730712e+04
9.700000000000000000e+01,3.962391894711858185e+04
9.800000000000000000e+01,3.963014242946892773e+04
9.900000000000000000e+01,3.963704994776440435e+04
1.000000000000000000e+02,3.964470129284751602e+04
1.010000000000000000e+02,3.965315785377880820e+04
1.020000000000000000e+02,3.966248175389565586e+04
1.030000000000000000e+02,3.967273477256474871e+04
1.040000000000000000e+02,3.968397704472996702e+04
1.050000000000000000e+02,3.969626554151915479e+04
1.060000000000000000e+02,3.970965234969589801e+04
1.070000000000000000e+02,3.972418278527774964e+04
1.080000000000000000e+02,3.973989339638585807e+04
1.090000000000000000e+02,3.975680993084139482e+04
1.100000000000000000e+02,3.977494536320219049e+04
1.110000000000000000e+02,3.979429809125605243e+04
1.120000000000000000e+02,3.981485042079856794e+04
1.130000000000000000e+02,3.983656745724892244e+04
1.140000000000000000e+02,3.985939651150049031e+04
1.150000000000000000e+02,3.988326710467411613e+04
1.160000000000000000e+02,3.990809162302278855e+04
1.170000000000000000e+02,3.993376663264281524e+04
1.180000000000000000e+02,3.996017481788140140e+04
1.190000000000000000e+02,3.998718746232833655e+04
1.200000000000000000e+02,4.001466735217926907e+04
1.210000000000000000e+02,4.004247195305695641e+04
1.220000000000000000e+02,4.007045669614061626e+04
1.230000000000000000e+02,4.009847820891244919e+04
