# day, deaths
0.000000000000000000e+00,3.392532402387275943e+04
1.000000000000000000e+00,3.392532402387275943e+04
2.000000000000000000e+00,3.392542247213025985e+04
3.000000000000000000e+00,3.392557253716188279e+04
4.000000000000000000e+00,3.392575579347164603e+04
5.000000000000000000e+00,3.392595870663849200e+04
6.000000000000000000e+00,3.392617181853589136e+04
7.000000000000000000e+00,3.392638875706426916e+04
8.000000000000000000e+00,3.392660535595387046e+04
9.000000000000000000e+00,3.392681896943996253e+04
1.000000000000000000e+01,3.392702797538794402e+04
1.100000000000000000e+01,3.392723143001439166e+04
1.200000000000000000e+01,3.392742883426143089e+04
1.300000000000000000e+01,3.392761997844927828e+04
1.400000000000000000e+01,3.392780484021700249e+04
1.500000000000000000e+01,3.392798351808366715e+04
1.600000000000000000e+01,3.392815618855624052e+04
1.700000000000000000e+01,3.392832307870461955e+04
1.800000000000000000e+01,3.392848444886744255e+04
1.900000000000000000e+01,3.392864058199723513e+04
2.000000000000000000e+01,3.392879177737157443e+04
2.100000000000000000e+01,3.392893834720292944e+04
2.200000000000000000e+01,3.392908061520469346e+04
2.300000000000000000e+01,3.392921891650734324e+04
2.400000000000000000e+01,3.392935359854865965e+04
2.500000000000000000e+01,3.392948502270472818e+04
2.600000000000000000e+01,3.392961356652216637e+04
2.700000000000000000e+01,3.392973962648250745e+04
2.800000000000000000e+01,3.392986362126781023e+04
2.900000000000000000e+01,3.392998599552868109e+04
3.000000000000000000e+01,3.393010722417961370e+04
3.100000000000000000e+01,3.393022781726369431e+04
3.200000000000000000e+01,3.393034832544321398e+04
3.300000000000000000e+01,3.393046934618424712e+04
3.400000000000000000e+01,3.393059153072256595e+04
3.500000000000000000e+01,3.393071559190342668e+04
3.600000000000000000e+01,3.393084231300694955e+04
3.700000000000000000e+01,3.393097255768730247e+04
3.800000000000000000e+01,3.393110728116447717e+04
3.900000000000000000e+01,3.393124754283372022e+04
4.000000000000000000e+01,3.393139452047449595e+04
4.100000000000000000e+01,3.393154952626334853e+04
4.200000000000000000e+01,3.393171402482554549e+04
4.300000000000000000e+01,3.393188965358727728e+04
4.400000000000000000e+01,3.393207824572264508e+04
4.500000000000000000e+01,3.393228185603050224e+04
4.600000000000000000e+01,3.393250279011528619e+04
4.700000000000000000e+01,3.393274363729487231e+04
4.800000000000000000e+01,3.393300730771085364e+04
4.900000000000000000e+01,3.393329707417578902e+04
5.000000000000000000e+01,3.393361661935967277e+04
