# day, deaths
0.000000000000000000e+00,3.929405395027995110e+04
1.000000000000000000e+00,3.929405395027995110e+04
2.000000000000000000e+00,3.929405425118179119e+04
3.000000000000000000e+00,3.929405460251466138e+04
4.000000000000000000e+00,3.929405499362050614e+04
5.000000000000000000e+00,3.929405541765676753e+04
6.000000000000000000e+00,3.929405587047146400e+04
7.000000000000000000e+00,3.929405634983775963e+04
8.000000000000000000e+00,3.929405685494607314e+04
9.000000000000000000e+00,3.929405738607944659e+04
1.000000000000000000e+01,3.929405794441109174e+04
1.100000000000000000e+01,3.929405853188625770e+04
1.200000000000000000e+01,3.929405915116332471e+04
1.300000000000000000e+01,3.929405980559220188e+04
1.400000000000000000e+01,3.929406049922590319e+04
1.500000000000000000e+01,3.929406123685197963e+04
1.600000000000000000e+01,3.929406202404390206e+04
1.700000000000000000e+01,3.929406286723025551e+04
1.800000000000000000e+01,3.929406377377876197e+04
1.900000000000000000e+01,3.929406475209728524e+04
2.000000000000000000e+01,3.929406581175249448e+04
2.100000000000000000e+01,3.929406696360600472e+04
2.200000000000000000e+01,3.929406821997051884e+04
2.300000000000000000e+01,3.929406959479067154e+04
2.400000000000000000e+01,3.929407110384352563e+04
2.500000000000000000e+01,3.929407276497331623e+04
2.600000000000000000e+01,3.929407459835097688e+04
2.700000000000000000e+01,3.929407662677294138e+04
2.800000000000000000e+01,3.929407887599681999e+04
2.900000000000000000e+01,3.929408137512197573e+04
3.000000000000000000e+01,3.929408415701925696e+04
3.100000000000000000e+01,3.929408725881793362e+04
3.200000000000000000e+01,3.929409072245503194e+04
3.300000000000000000e+01,3.929409459529514425e+04
3.400000000000000000e+01,3.929409893083377392e+04
3.500000000000000000e+01,3.929410378948811558e+04
3.600000000000000000e+01,3.929410923949284916e+04
3.700000000000000000e+01,3.929411535791057395e+04
3.800000000000000000e+01,3.929412223177397391e+04
3.900000000000000000e+01,3.929412995937450614e+04
4.000000000000000000e+01,3.929413865171972429e+04
4.100000000000000000e+01,3.929414843417635711e+04
