# day, deaths
0.000000000000000000e+00,3.255241191329898720e+04
1.000000000000000000e+00,3.255241191329898720e+04
2.000000000000000000e+00,3.255291668899801880e+04
3.000000000000000000e+00,3.255366299925767817e+04
4.000000000000000000e+00,3.255456440260871750e+04
5.000000000000000000e+00,3.255555672960624361e+04
6.000000000000000000e+00,3.255659471743267204e+04
7.000000000000000000e+00,3.255764760515520902e+04
8.000000000000000000e+00,3.255869510620651272e+04
9.000000000000000000e+00,3.255972421999118524e+04
1.000000000000000000e+01,3.256072689261131745e+04
1.100000000000000000e+01,3.256169837531718440e+04
1.200000000000000000e+01,3.256263610355649143e+04
1.300000000000000000e+01,3.256353894437228882e+04
1.400000000000000000e+01,3.256440669636241000e+04
1.500000000000000000e+01,3.256523975954267735e+04
1.600000000000000000e+01,3.256603891821253637e+04
1.700000000000000000e+01,3.256680519851049758e+04
1.800000000000000000e+01,3.256753977520517947e+04
1.900000000000000000e+01,3.256824391094932798e+04
2.000000000000000000e+01,3.256891891699777625e+04
2.100000000000000000e+01,3.256956612818833673e+04
2.200000000000000000e+01,3.257018688748063141e+04
2.300000000000000000e+01,3.257078253697035689e+04
2.400000000000000000e+01,3.257135441337025986e+04
2.500000000000000000e+01,3.257190384663824807e+04
2.600000000000000000e+01,3.257243216089707857e+04
2.700000000000000000e+01,3.257294067709252704e+04
2.800000000000000000e+01,3.257343071704234899e+04
2.900000000000000000e+01,3.257390360866191986e+04
3.000000000000000000e+01,3.257436069225567189e+04
3.100000000000000000e+01,3.257480332782321057e+04
3.200000000000000000e+01,3.257523290338772495e+04
3.300000000000000000e+01,3.257565084438771373e+04
3.400000000000000000e+01,3.257605862421201164e+04
3.500000000000000000e+01,3.257645777597884808e+04
3.600000000000000000e+01,3.257684990569655201e+04
3.700000000000000000e+01,3.257723670696213230e+04
3.800000000000000000e+01,3.257761997738433274e+04
3.900000000000000000e+01,3.257800163694821094e+04
4.000000000000000000e+01,3.257838374856634982e+04
4.100000000000000000e+01,3.257876854109741544e+04
4.200000000000000000e+01,3.257915843515169763e+04
4.300000000000000000e+01,3.257955607204057742e+04
4.400000000000000000e+01,3.257996434628040879e+04
4.500000000000000000e+01,3.258038644210436905e+04
4.600000000000000000e+01,3.258082587450492429e+04
4.700000000000000000e+01,3.258128653538189246e+04
4.800000000000000000e+01,3.258177274545654655e+04
4.900000000000000000e+01,3.258228931268285669e+04
5.000000000000000000e+01,3.258284159798584005e+04
5.100000000000000000e+01,3.258343558925294201e+04
5.200000000000000000e+01,3.258407798462038045e+04
5.300000000000000000e+01,3.258477628622040356e+04
5.400000000000000000e+01,3.258553890569756913e+04
5.500000000000000000e+01,3.258637528295006268e+04
5.600000000000000000e+01,3.258729601973145691e+04
5.700000000000000000e+01,3.258831302992765995e+04
5.800000000000000000e+01,3.258943970853384963e+04
5.900000000000000000e+01,3.259069112157620111e+04
6.000000000000000000e+01,3.259208421947037641e+04
6.100000000000000000e+01,3.259363807656330755e+04
6.200000000000000000e+01,3.259537415988869907e+04
6.300000000000000000e+01,3.259731663045648020e+04
6.400000000000000000e+01,3.259949268070178732e+04
6.500000000000000000e+01,3.260193291203423360e+04
6.600000000000000000e+01,3.260467175673506063e+04
6.700000000000000000e+01,3.260774794875267980e+04
6.800000000000000000e+01,3.261120504821956274e+04
6.900000000000000000e+01,3.261509202474225458e+04
7.000000000000000000e+01,3.261946390467603487e+04
7.100000000000000000e+01,3.262438248764612945e+04
7.200000000000000000e+01,3.262991713749370683e+04
7.300000000000000000e+01,3.263614565252416651e+04
7.400000000000000000e+01,3.264315521938490565e+04
7.500000000000000000e+01,3.265104345398911391e+04
7.600000000000000000e+01,3.265991953154246221e+04
7.700000000000000000e+01,3.266990540579640583e+04
7.800000000000000000e+01,3.268113711500055069e+04
7.900000000000000000e+01,3.269376616848676349e+04
8.000000000000000000e+01,3.270796100320247206e+04
8.100000000000000000e+01,3.272390849359872664e+04
8.200000000000000000e+01,3.274181549086621817e+04
8.300000000000000000e+01,3.276191035834622016e+04
8.400000000000000000e+01,3.278444445884996094e+04
8.500000000000000000e+01,3.280969353641940688e+04
8.600000000000000000e+01,3.283795891969255899e+04
8.700000000000000000e+01,3.286956845659347164e+04
8.800000000000000000e+01,3.290487707080970722e+04
8.900000000000000000e+01,3.294426681007796287e+04
9.000000000000000000e+01,3.298814623563239729e+04
9.100000000000000000e+01,3.303694898278621986e+04
9.200000000000000000e+01,3.309113130657832517e+04
9.300000000000000000e+01,3.315116841644587112e+04
9.400000000000000000e+01,3.321754940334933053e+04
9.500000000000000000e+01,3.329077057557760418e+04
9.600000000000000000e+01,3.337132704981851566e+04
9.700000000000000000e+01,3.345970249609991151e+04
9.800000000000000000e+01,3.355635701228612015e+04
9.900000000000000000e+01,3.366171320785138960e+04
1.000000000000000000e+02,3.377614070712067769e+04
1.010000000000000000e+02,3.389993943519298045e+04
1.020000000000000000e+02,3.403332221736549400e+04
1.030000000000000000e+02,3.417639739257787005e+04
1.040000000000000000e+02,3.432915229650669062e+04
1.050000000000000000e+02,3.449143859059436363e+04
1.060000000000000000e+02,3.466296047845035355e+04
1.070000000000000000e+02,3.484326684123516316e+04
1.080000000000000000e+02,3.503174822419934935e+04
1.090000000000000000e+02,3.522763941098224313e+04
1.100000000000000000e+02,3.543002803485343611e+04
1.110000000000000000e+02,3.563786931330824154e+04
1.120000000000000000e+02,3.585000658266170649e+04
1.130000000000000000e+02,3.606519689043350809e+04
1.140000000000000000e+02,3.628214051848434610e+04
1.150000000000000000e+02,3.649951300171270850e+04
1.160000000000000000e+02,3.671599801156405010e+04
1.170000000000000000e+02,3.693031941413680033e+04
1.180000000000000000e+02,3.714127089646639797e+04
1.190000000000000000e+02,3.734774177099835651e+04
1.200000000000000000e+02,3.754873789062461583e+04
1.210000000000000000e+02,3.774339699640909384e+04
1.220000000000000000e+02,3.793099823308437772e+04
1.230000000000000000e+02,3.811096596046860941e+04
1.240000000000000000e+02,3.828286832604881056e+04
1.250000000000000000e+02,3.844641132024786202e+04
1.260000000000000000e+02,3.860142919938219711e+04
1.270000000000000000e+02,3.874787223250594980e+04
