# day, deaths
0.000000000000000000e+00,4.010821402493131609e+04
1.000000000000000000e+00,4.010821402493131609e+04
2.000000000000000000e+00,4.010821405191632221e+04
3.000000000000000000e+00,4.010821408653796243e+04
4.000000000000000000e+00,4.010821412775415229e+04
5.000000000000000000e+00,4.010821417500800453e+04
6.000000000000000000e+00,4.010821422810766671e+04
7.000000000000000000e+00,4.010821428714312788e+04
8.000000000000000000e+00,4.010821435242857842e+04
9.000000000000000000e+00,4.010821442446836591e+04
1.000000000000000000e+01,4.010821450393526175e+04
1.100000000000000000e+01,4.010821459166136628e+04
1.200000000000000000e+01,4.010821468863537302e+04
1.300000000000000000e+01,4.010821479600951716e+04
1.400000000000000000e+01,4.010821491510883789e+04
1.500000000000000000e+01,4.010821504744559934e+04
1.600000000000000000e+01,4.010821519474007073e+04
1.700000000000000000e+01,4.010821535894217232e+04
1.800000000000000000e+01,4.010821554225918953e+04
1.900000000000000000e+01,4.010821574718761985e+04
2.000000000000000000e+01,4.010821597654905054e+04
2.100000000000000000e+01,4.010821623353120231e+04
2.200000000000000000e+01,4.010821652173550683e+04
2.300000000000000000e+01,4.010821684522880241e+04
2.400000000000000000e+01,4.010821720860544883e+04
2.500000000000000000e+01,4.010821761705339304e+04
2.600000000000000000e+01,4.010821807643193461e+04
2.700000000000000000e+01,4.010821859335861518e+04
2.800000000000000000e+01,4.010821917530684004e+04
2.900000000000000000e+01,4.010821983071674185e+04
3.000000000000000000e+01,4.010822056912130211e+04
3.100000000000000000e+01,4.010822140128611500e+04
3.200000000000000000e+01,4.010822233937044803e+04
3.300000000000000000e+01,4.010822339710710366e+04
3.400000000000000000e+01,4.010822459000561503e+04
3.500000000000000000e+01,4.010822593558342487e+04
3.600000000000000000e+01,4.010822745362439309e+04
3.700000000000000000e+01,4.010822916647365491e+04
3.800000000000000000e+01,4.010823109936734545e+04
3.900000000000000000e+01,4.010823328080835927e+04
4.000000000000000000e+01,4.010823574298803578e+04
4.100000000000000000e+01,4.010823852226379677e+04
4.200000000000000000e+01,4.010824165969785099e+04
4.300000000000000000e+01,4.010824520166615548e+04
4.400000000000000000e+01,4.010824920054509130e+04
4.500000000000000000e+01,4.010825371548821568e+04
4.600000000000000000e+01,4.010825881330129050e+04
4.700000000000000000e+01,4.010826456943328958e+04
4.800000000000000000e+01,4.010827106909107533e+04
4.900000000000000000e+01,4.010827840850251960e+04
5.000000000000000000e+01,4.010828669633837126e+04
5.100000000000000000e+01,4.010829605532006826e+04
5.200000000000000000e+01,4.010830662403252791e+04
5.300000000000000000e+01,4.010831855897255446e+04
5.400000000000000000e+01,4.010833203685679473e+04
5.500000000000000000e+01,4.010834725723035808e+04
5.600000000000000000e+01,4.010836444540685625e+04
5.700000000000000000e+01,4.010838385578616726e+04
5.800000000000000000e+01,4.010840577559695521e+04
5.900000000000000000e+01,4.010843052911611449e+04
6.000000000000000000e+01,4.010845848242740612e+04
6.100000000000000000e+01,4.010849004878460255e+04
6.200000000000000000e+01,4.010852569465484703e+04
6.300000000000000000e+01,4.010856594652963395e+04
