# x, attack
0.000000000000000000e+00,8.484848484848485084e-01
9.898989898989898548e-03,8.484848484848485084e-01
1.979797979797979710e-02,8.686868686868687295e-01
2.969696969696969391e-02,8.686868686868687295e-01
3.959595959595959419e-02,8.686868686868687295e-01
4.949494949494949447e-02,8.686868686868687295e-01
5.939393939393938782e-02,8.686868686868687295e-01
6.929292929292929504e-02,8.686868686868687295e-01
7.919191919191918838e-02,8.686868686868687295e-01
8.909090909090908172e-02,8.686868686868687295e-01
9.898989898989898895e-02,8.686868686868687295e-01
1.088888888888888823e-01,8.686868686868687295e-01
1.187878787878787756e-01,8.686868686868687295e-01
1.286868686868686829e-01,8.686868686868687295e-01
1.385858585858585901e-01,8.686868686868687295e-01
1.484848484848484695e-01,8.686868686868687295e-01
1.583838383838383768e-01,8.686868686868687295e-01
1.682828282828282840e-01,8.686868686868687295e-01
1.781818181818181634e-01,8.686868686868687295e-01
1.880808080808080707e-01,8.686868686868687295e-01
1.979797979797979779e-01,8.686868686868687295e-01
2.078787878787878574e-01,8.686868686868687295e-01
2.177777777777777646e-01,8.888888888888889506e-01
2.276767676767676718e-01,8.888888888888889506e-01
2.375757575757575513e-01,8.888888888888889506e-01
2.474747474747474585e-01,8.888888888888889506e-01
2.573737373737373657e-01,8.888888888888889506e-01
2.672727272727272729e-01,8.888888888888889506e-01
2.771717171717171802e-01,8.888888888888889506e-01
2.870707070707070319e-01,8.888888888888889506e-01
2.969696969696969391e-01,8.888888888888889506e-01
3.068686868686868463e-01,8.888888888888889506e-01
3.167676767676767535e-01,8.888888888888889506e-01
3.266666666666666607e-01,8.888888888888889506e-01
3.365656565656565680e-01,8.888888888888889506e-01
3.464646464646464752e-01,8.888888888888889506e-01
3.563636363636363269e-01,8.888888888888889506e-01
3.662626262626262341e-01,8.888888888888889506e-01
3.761616161616161413e-01,8.888888888888889506e-01
3.860606060606060486e-01,8.888888888888889506e-01
3.959595959595959558e-01,8.888888888888889506e-01
4.058585858585858630e-01,9.090909090909091717e-01
4.157575757575757147e-01,9.090909090909091717e-01
4.256565656565656219e-01,9.090909090909091717e-01
4.355555555555555292e-01,9.090909090909091717e-01
4.454545454545454364e-01,9.090909090909091717e-01
4.553535353535353436e-01,9.090909090909091717e-01
4.652525252525252508e-01,9.090909090909091717e-01
4.751515151515151025e-01,9.090909090909091717e-01
4.850505050505050098e-01,9.090909090909091717e-01
4.949494949494949170e-01,9.090909090909091717e-01
5.048484848484848797e-01,9.090909090909091717e-01
5.147474747474747314e-01,9.090909090909091717e-01
5.246464646464645831e-01,9.090909090909091717e-01
5.345454545454545459e-01,9.090909090909091717e-01
5.444444444444443976e-01,9.090909090909091717e-01
5.543434343434343603e-01,9.090909090909091717e-01
5.642424242424242120e-01,9.090909090909091717e-01
5.741414141414140637e-01,9.090909090909091717e-01
5.840404040404040265e-01,9.292929292929293927e-01
5.939393939393938782e-01,9.292929292929293927e-01
6.038383838383838409e-01,9.292929292929293927e-01
6.137373737373736926e-01,9.292929292929293927e-01
6.236363636363636553e-01,9.292929292929293927e-01
6.335353535353535070e-01,9.292929292929293927e-01
6.434343434343433588e-01,9.292929292929293927e-01
6.533333333333333215e-01,9.292929292929293927e-01
6.632323232323231732e-01,9.292929292929293927e-01
6.731313131313131359e-01,9.292929292929293927e-01
6.830303030303029876e-01,9.292929292929293927e-01
6.929292929292929504e-01,9.292929292929293927e-01
7.028282828282828021e-01,9.292929292929293927e-01
7.127272727272726538e-01,9.292929292929293927e-01
7.226262626262626165e-01,9.292929292929293927e-01
7.325252525252524682e-01,9.292929292929293927e-01
7.424242424242424310e-01,9.292929292929293927e-01
7.523232323232322827e-01,9.292929292929293927e-01
7.622222222222221344e-01,9.494949494949496138e-01
7.721212121212120971e-01,9.494949494949496138e-01
7.820202020202019488e-01,9.494949494949496138e-01
7.919191919191919116e-01,9.494949494949496138e-01
8.018181818181817633e-01,9.494949494949496138e-01
8.117171717171717260e-01,9.494949494949496138e-01
8.216161616161615777e-01,9.494949494949496138e-01
8.315151515151514294e-01,9.494949494949496138e-01
8.414141414141413922e-01,9.494949494949496138e-01
8.513131313131312439e-01,9.494949494949496138e-01
8.612121212121212066e-01,9.494949494949496138e-01
8.711111111111110583e-01,9.494949494949496138e-01
8.810101010101010210e-01,9.494949494949496138e-01
8.909090909090908728e-01,9.494949494949496138e-01
9.008080808080807245e-01,9.494949494949496138e-01
9.107070707070706872e-01,9.494949494949496138e-01
9.206060606060605389e-01,9.494949494949496138e-01
9.305050505050505016e-01,9.696969696969697239e-01
9.404040404040403534e-01,9.696969696969697239e-01
9.503030303030302051e-01,9.696969696969697239e-01
9.602020202020201678e-01,9.696969696969697239e-01
9.701010101010100195e-01,9.696969696969697239e-01
9.799999999999999822e-01,9.696969696969697239e-01
