DAY,GAMA_F1,GAMA_F2,GAMA_F3,GAMA_F4,GAMA_F5,GAMA_F6,GAMA_F7,GAMA_F8,GAMA_F9,GAMA_F10,GAMA_F11,GAMA_F12,GAMA_F13,GAMA_F14,GAMA_F15,GAMA_F16,xI_F1,xI_F2,xI_F3,xI_F4,xI_F5,xI_F6,xI_F7,xI_F8,xI_F9,xI_F10,xI_F11,xI_F12,xI_F13,xI_F14,xI_F15,xI_F16,xA_F1,xA_F2,xA_F3,xA_F4,xA_F5,xA_F6,xA_F-,xA_F8,xA_F9,xA_F10,xA_F11,xA_F12,xA_F13,xA_F14,xA_F15,xA_F16,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX
0.0,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06265932596129022,0.0362850606049532,0.020606745758483674,0.012853734079107632,0.02103469438797443,0.03252584061229056,0.03776598168678444,0.03132013170297286,0.0178664446561034,0.010026443680074075,0.010637011970870613,0.008796559014054591,0.005587751126794323,0.003983849435986095,0.0021142036360648816,0.0011514056910535342
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03541268201146033,0.30045985447295825,0.06490268043123035,0.01870729478747415,0.01225128293756416,0.029853812743812148,0.042584349167487795,0.04227423160595117,0.03453504259466417,0.014924856571438138,0.009400708723247494,0.00834237867640329,0.006363090682537134,0.004215731390171757,0.0018510683375224184,0.001338452136490309
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019942536150498166,0.12562719278803508,0.5392993396068542,0.06281339768315046,0.027007402907380556,0.024467056538534978,0.035136816552358174,0.0462052006858116,0.052947484139312904,0.02932058126655952,0.015298003981644387,0.007642987636677684,0.0046722671457684025,0.00454382957638795,0.0030722032705836756,0.00220798178891304
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018136300802467354,0.048690226357016544,0.3295941503166937,1.07021631841194,0.16701928826249393,0.08346975275195653,0.06210388025403372,0.07713252213599595,0.08720928858970119,0.07869452259736796,0.04049919453851416,0.016752859453663393,0.007431249847683141,0.004643808844935341,0.002433981720577058,0.001630181177103849
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049088885013628306,0.04531956425560149,0.06586467528985811,0.4544435854078986,0.6424319216242864,0.2887291376021402,0.17675854840017022,0.14254156370528753,0.1184387277800541,0.13277798486179304,0.08829707508746291,0.046455507359644495,0.014902719323636765,0.005802207316989843,0.005527873200214145,0.004194672164372791
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15972539975511496,0.10276813108017256,0.06848886993616224,0.24257912606443166,0.5514003035387094,0.7827264379403933,0.42420422196677426,0.301901523439767,0.23697823212749008,0.19004190937702067,0.17374982005950693,0.09203890208711331,0.03511058793222468,0.011977864778794119,0.0050390551105496595,0.004077562721894478
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23148939297836799,0.35270021692170256,0.2854967232129452,0.1848816471289402,0.3538595368239295,0.5764644380062861,0.7861967189181281,0.5243983465715983,0.37523094368241866,0.2703717098249591,0.199661380340007,0.13611252947932764,0.062238539871106474,0.022855165552186266,0.010990868181997234,0.008426573449795667
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27265862256383994,0.47428511918480876,0.4138054307282417,0.3303672208157372,0.3073891921414721,0.546862086909672,0.6631845886212265,0.9258705923791217,0.6554654369555926,0.397875070592501,0.2667686356974852,0.140759920343349,0.08153429251138265,0.04686477546529299,0.023615438060293235,0.008320275082331751
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2305428028226954,0.4551368025563498,0.5844330491844247,0.6393903048840485,0.47893926370112294,0.5995141683095369,0.7584316894622404,0.8067803159943456,1.0380239824304602,0.6346113576336764,0.41426078239040226,0.14756133786739983,0.0863365744948437,0.04814650671837938,0.027450316575475746,0.012955772980714595
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1859583387058333,0.43131708288350895,0.5309879832401319,1.0101667347146446,0.565235157313154,0.6053295618955028,0.7004167171469482,0.768230221758931,0.7682426182659855,0.8672954879222843,0.49964598485152334,0.2204884048258035,0.07972145076439716,0.03728910021664159,0.030428483123458902,0.028597273637577414
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26567410776640193,0.5128807159305375,0.7537182072711786,0.947004850472518,0.7329340789397875,0.9029545458448175,0.7868364495371682,0.7197503488648815,0.902315643192997,0.9098171605031744,0.8131257619802034,0.41262450676641566,0.1344867712439203,0.04976941590489371,0.03411208326020563,0.0328923803259543
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5953387492019577,0.8154082028635324,0.713416153719221,0.8628248006047048,0.6958641730366562,1.0609730711919283,1.0617796676807807,0.768618804679098,0.7893937332182325,0.6577401034843219,0.7205402463971626,0.7011750272597007,0.28068039099239456,0.11935814920807569,0.04772263878079365,0.03787764027648823
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8696036273516946,0.875822210975747,0.6276407827065518,0.7771764530356452,0.6519099854701652,0.9229607902027422,1.0392223735396695,1.0378850040327094,0.751246854331723,0.5808655183912254,0.547269144707994,0.6006810724415953,0.6122204983174281,0.2920504226899997,0.13032369105812205,0.04479682118220621
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0570529221506564,1.6073657303848028,1.3251335403966669,0.7336378503402361,0.8087407881903353,1.0210709808126082,1.4646890585494923,1.496599338647011,1.2286439100785453,0.603837713853491,0.6017661173483283,0.7212495466807184,0.6538003258393134,0.9266946758901892,0.30411808116590805,0.10918086706367125
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6328499295110684,1.8488107318568978,1.641133915639632,1.510287749782645,0.5725352695237649,1.0320125144097216,0.934930294659728,1.6134778452824392,1.6019496558395194,1.2541442255022248,0.9227937939970565,0.6882004523087132,0.9352237153657259,0.8243444931306028,1.0010657595749965,0.4158165668054147
