X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0.321885854,0.043165997,0.007882694,0.008095484,0.005350381,0.021820197,0.040163351,0.0299376,0.014068028,0.016658785,0.009477747,0.007410416,0.001282007,0.00077912,8.23608E-66,6.3793E-120
0.054013333,4.84870697,0.270046494,0.031477845,0.031120633,0.085682695,0.108251879,0.094610114,0.086352819,0.055114116,0.04193852,0.012095894,0.004772422,0.001397872,0.000347453,8.08974E-39
0.000456462,1.048402346,6.091524586,0.198915822,0.019970992,0.066831953,0.065894959,0.09708515,0.095414708,0.067053823,0.04248641,0.019870135,0.005118694,0.00072732,4.93746E-25,0.000182154
0.002596132,0.047331523,1.993378341,7.200404997,0.085732604,0.079066882,0.085420854,0.110816964,0.087695524,0.092297552,0.045803502,0.025113096,0.005713918,0.001078188,6.21175E-33,1.7071E-70
0.007191587,0.024883319,0.009897272,0.876815025,0.433963352,0.050518522,0.033059449,0.038138411,0.023470968,0.026723537,0.013291399,0.009006556,0.000694913,0.00125676,0.000177164,1.21958E-47
0.007041192,0.119412206,0.037501698,0.202193056,0.279822908,0.168610223,0.028693936,0.035696147,0.040923449,0.03322909,0.008120743,0.012615214,0.004278691,0.002417375,0.000463117,0.001285972
0.014148632,0.386561429,0.255902236,0.169973534,0.049810401,0.089812245,0.079533339,0.051927461,0.054661293,0.026456714,0.020324159,0.002962632,0.005428886,0.000447586,1.6544E-48,3.11189E-55
0.02409453,0.211030046,0.154767246,0.08179299,0.018406161,0.054300978,0.073935119,0.052167701,0.056326708,0.025180715,0.003539726,0.007966463,0.00055693,0.002085305,1.8443E-123,9.69555E-67
0.007813139,0.114371898,0.090901195,0.380212104,0.008545332,0.026243016,0.025188001,0.032256351,0.067350604,0.022499714,0.023924104,0.006506272,0.005508927,0.000478309,4.81213E-68,2.40231E-92
0.065526502,0.231163536,0.149970765,0.553563093,0.005740325,0.030286548,0.057250688,0.047055923,0.042873655,0.024261452,0.028666538,0.012957047,0.003243625,0.001679303,6.2092E-134,3.27298E-72
0.017276565,0.343744913,0.430902785,0.474293073,0.005393282,0.014412874,0.039554536,0.037378186,0.045683449,0.059213591,0.02914738,0.01548575,0.004531054,8.87273E-24,1.238E-117,5.64262E-78
0.061436304,0.298367348,0.2590927,0.300800812,0.005924546,0.052645886,0.020218867,0.03278976,0.040775374,0.028342241,0.024365781,0.027399323,0.008879907,1.13279E-31,0.00078196,0.000762468
0.036369564,0.059687036,0.030507262,0.145523978,0.012606298,0.001694582,0.015512729,0.042209767,0.009217924,0.014220065,0.011096753,0.005770203,0.020447404,0.011107573,4.42271E-67,2.12069E-37
0.00167937,0.0272971,0.010588627,7.61088E-32,0.001971916,0.00192885,0.012434374,0.005392978,0.00541685,0.008635021,0.001945545,0.014908227,0.008117811,0.017439549,0.011123902,3.4569E-126
1.28088E-28,5.11065E-26,1.9302E-40,0.00760476,2.63587E-22,1.69749E-24,1.25875E-26,0.007621099,0.007849799,0.021151602,0.035211783,0.021436038,0.007739021,0.008013283,0.007912851,0.021382581
2.81656E-94,0.021130519,8.46563E-42,0.021259284,4.89802E-36,0.007592324,9.77247E-69,2.23108E-60,1.43716E-48,8.56016E-60,4.69469E-42,1.59822E-46,2.20979E-83,8.8586E-107,1.02043E-80,6.6141E-113
