X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0,0,0,0,0,0,0,0,0,0,0,0,0,8.20605E-92,1.20585E-05,3.1644E-125
0,0.001168406,9.90713E-72,4.42646E-59,2.91874E-06,0.00998773,0.025877998,0.005661044,0.021269981,0.005721175,0.001482123,0.001239261,1.28213E-56,1.34956E-05,7.64591E-79,2.38392E-65
0,0.002565521,0.112756182,0.024035114,0.026298149,0.007565124,0.061958761,0.017326987,0.058740513,0.032674974,0.012470919,2.93054E-08,3.71597E-17,2.7978E-53,4.95801E-06,3.7772E-102
0,0.010721388,0.042839045,0.72276909,0.593479736,0.339341952,0.317013715,0.289168861,0.31114318,0.234889238,0.132953769,0.06019441,0.014730618,8.347E-06,2.85973E-06,1.88926E-31
0,0.009142526,0.057450868,0.400000235,0.793386618,0.755975146,0.632277283,0.683601459,0.498506972,0.382309992,0.281363576,0.123338103,0.041570802,9.86113E-06,1.32609E-05,3.74318E-06
0,0.010424348,0.073458749,0.349556755,0.750680101,1.256833927,0.901245714,0.863446835,0.770443641,0.517237071,0.409810981,0.1806454,0.055128478,1.60675E-05,1.01183E-05,3.01443E-06
0,0.01658424,0.083407678,0.189301935,0.521246906,0.854460001,1.120549312,0.964310078,0.83467518,0.652534012,0.379383514,0.211198205,0.051728569,1.63796E-05,4.10101E-06,3.49479E-06
0,0.011166664,0.050331975,0.370510313,0.424294782,0.787535547,0.845085693,1.145903648,1.07673077,0.713492115,0.500740004,0.190102207,0.035974011,1.22989E-05,9.13513E-06,6.02097E-06
0,0.006077924,0.054933761,0.223499535,0.482353827,0.752291991,0.889187601,0.93376537,1.104922831,0.850124391,0.588941528,0.194947085,0.050947723,1.43626E-05,1.02722E-05,1.29504E-05
0,0.003316226,0.070182985,0.267512972,0.314796392,0.541516885,0.695769048,0.750620518,0.750038547,0.700954088,0.435197983,0.211283335,0.03885762,1.6281E-05,1.08244E-05,6.09172E-06
0,0.000439576,0.071773797,0.189254612,0.247832532,0.516027731,0.602783971,0.615949277,0.805581107,0.744063535,0.544855374,0.252198706,0.043923568,1.1808E-05,1.18227E-05,1.01613E-05
0,0.004917376,0.108686672,0.124987806,0.164110983,0.300118829,0.418159745,0.386897613,0.477718241,0.36085425,0.322466456,0.192516925,0.040720969,1.34978E-05,6.5874E-06,6.65717E-06
0,0.000635447,0.039632962,0.01830725,0.07045967,0.124861117,0.137834574,0.15984572,0.166933479,0.156084857,0.114949158,0.08465708,0.015087984,2.0302E-05,8.26102E-06,1.48398E-05
7.603E-06,3.36327E-06,7.64855E-06,2.27622E-05,3.14933E-05,7.89308E-05,7.24213E-05,2.91748E-05,6.61874E-05,5.95693E-05,7.70713E-05,5.30688E-05,4.6603E-05,1.41633E-05,2.49066E-05,1.19109E-05
5.78864E-55,7.88785E-42,2.5483E-06,2.60648E-05,1.68036E-05,2.12447E-05,3.57268E-05,4.02377E-05,3.56402E-05,3.09769E-05,2.13053E-05,4.49709E-05,2.61368E-05,1.68266E-05,1.66514E-05,2.60823E-05
2.3572E-141,9.06872E-97,1.18637E-89,9.39934E-22,4.66E-05,4.69664E-05,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.06804E-05,7.26342E-75,1.10074E-65,1.02832E-05,5.16903E-49,8.28041E-43
