X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0.955377344,0.468601319,0.271106068,0.194476669,0.321350734,0.487820719,0.549630243,0.421955934,0.271520381,0.178642513,0.201556424,0.163582711,0.104015902,0.087414897,0.051299382,0.021538225
0.510235186,2.177573639,0.902251597,0.243042353,0.201195182,0.396895882,0.472424313,0.46949918,0.377416508,0.168437465,0.125905042,0.126823307,0.112822471,0.082227182,0.036485263,0.024042569
0.185857962,1.119581244,4.477294426,0.679597595,0.439363171,0.369341425,0.415667442,0.444672859,0.487974221,0.287953847,0.176591911,0.106748313,0.071755671,0.072492609,0.048153049,0.036978615
0.098544822,0.351486899,1.849023859,5.384916131,1.274251613,0.592425789,0.365787352,0.391817982,0.381318323,0.315010285,0.132756477,0.064086116,0.044992185,0.040006643,0.022323256,0.013226982
0.136744359,0.197346104,0.332640883,2.080163942,3.288101843,1.291981251,0.746422008,0.44357051,0.327813911,0.355112434,0.201320113,0.129610004,0.049945528,0.037486571,0.038410734,0.027005813
0.234952027,0.138390312,0.140856786,0.534738496,1.460212748,1.852220217,1.026811624,0.615136018,0.390862713,0.328718441,0.259389468,0.135204116,0.051019632,0.037142784,0.021777506,0.009797454
0.231390978,0.186348309,0.320022144,0.247726898,0.641112737,0.936910216,1.145607253,0.731760245,0.437604318,0.310571354,0.29406937,0.206321551,0.090448955,0.064489832,0.030418766,0.025228424
0.187861961,0.250904854,0.213669687,0.153584124,0.357612861,0.62390736,0.761256658,0.82975354,0.54980593,0.327783394,0.208589913,0.160709895,0.13218526,0.090429085,0.049904908,0.017627183
0.122202414,0.179681318,0.318262462,0.198469708,0.348231834,0.41563737,0.559309985,0.540701868,0.557318401,0.315264745,0.201940477,0.092342929,0.083775337,0.058193738,0.041476195,0.015631015
0.034295275,0.063880176,0.094078669,0.17418896,0.234045186,0.288791079,0.345288522,0.34507961,0.314619729,0.299544263,0.217596682,0.096847179,0.065966792,0.042743369,0.035689096,0.02459849
0.050921521,0.108295607,0.138989023,0.200582802,0.358071323,0.451818152,0.322818206,0.280148033,0.301255455,0.312601369,0.229239477,0.176573822,0.102768891,0.055554665,0.034303269,0.020642559
0.067390515,0.067950355,0.082643698,0.095220867,0.233091887,0.390554444,0.394584648,0.292905315,0.272048461,0.178101185,0.243990067,0.221466527,0.137328487,0.075858008,0.039387943,0.0190908
0.04337917,0.05375367,0.052301193,0.080669013,0.166195724,0.254230563,0.255809132,0.274303226,0.22478799,0.169090174,0.142848789,0.172116041,0.143360327,0.103445217,0.067970488,0.025460141
0.04080687,0.061137282,0.043920616,0.044887476,0.128085911,0.19886058,0.245427115,0.196780113,0.178001357,0.131474407,0.135640906,0.142803352,0.129698049,0.111816312,0.055501928,0.029560656
0.014323244,0.034412123,0.056046944,0.101544557,0.092040001,0.133414433,0.133969008,0.166826381,0.185626749,0.129967701,0.099223752,0.096343309,0.151845831,0.13541738,0.116935898,0.03805293
0.01972631,0.022744118,0.037975446,0.020367848,0.043572977,0.057836395,0.107063209,0.076882707,0.069697587,0.080293932,0.054666041,0.051290457,0.046486526,0.061328821,0.050042895,0.030305685
